map_order,relative_time_min,point_index,row,column,best_discrete_contact_offset_nm,best_offset_at_search_boundary,lambda_D_nm_with_profiled_contact_offset,zeta_magnitude_mV_with_profiled_contact_offset,baseline_pN_with_profiled_contact_offset,rmse_pN_with_profiled_contact_offset,rss_improvement_vs_zero_offset_pN2,zero_offset_lambda_D_nm,zero_offset_zeta_magnitude_mV
4,53.33301666666667,21,2,5,-2.0,False,14.7826298876199,19.0,-58.89455618213803,12.361624398780501,80.82857404589868,14.7826298876199,20.5
4,53.33301666666667,22,2,6,10.0,True,20.294088553975286,37.0,-130.60417796279842,9.759448611698103,355.5788854865982,19.047850843082976,29.5
4,53.33301666666667,23,2,7,10.0,True,19.66109792896721,40.0,-2.271113772762291,15.777651167447836,777.5188529389197,19.66109792896721,31.0
4,53.33301666666667,24,3,7,10.0,True,17.320508075688775,44.5,167.72644165162052,12.637111167158528,520.0946601967198,16.25687467927739,34.0
4,53.33301666666667,25,3,6,10.0,True,17.878143222611804,47.5,33.3224661729587,10.418878142629575,1258.2825132056373,17.320508075688775,35.5
4,53.33301666666667,26,3,5,10.0,True,17.878143222611804,29.5,28.170579304501523,7.906342109335024,520.2250292018662,17.878143222611804,22.0
4,53.33301666666667,27,3,4,10.0,True,13.44207608814922,19.0,-47.94017645083176,6.815531358655512,14.807750032309968,13.44207608814922,13.0
4,53.33301666666667,28,3,3,10.0,True,16.25687467927739,19.0,-49.74005405157102,8.221838759871929,88.01417937023189,14.7826298876199,14.5
4,53.33301666666667,29,3,2,10.0,True,11.114646149663537,19.0,-63.462713780572045,14.203672365679399,197.58310294626244,11.114646149663537,11.5
4,53.33301666666667,30,3,1,10.0,True,11.114646149663537,22.0,-5.610393004261587,12.28629830179213,122.22432846486572,10.432107924894561,14.5
4,53.33301666666667,31,3,0,10.0,True,12.616612944575133,23.5,-88.86314583867077,14.231340206326085,106.65316663366502,12.223089594559632,16.0
4,53.33301666666667,32,4,0,-10.0,True,37.0547136355806,17.5,-7.925459820657199,6.64403362917989,218.41997462547783,39.47908066151966,20.5
4,53.33301666666667,33,4,1,2.0,False,26.149526485552656,17.5,-11.89258098061501,7.67453562037663,295.99688401330604,27.860403281929248,17.5
4,53.33301666666667,34,4,2,5.0,False,26.9914125884324,16.0,57.80641012532909,8.979962171944308,7.153789554416107,26.9914125884324,14.5
4,53.33301666666667,35,4,3,-10.0,True,42.062065981861544,14.5,-79.32244506754458,8.017485627048467,247.40112831140686,35.89894424582464,16.0
4,53.33301666666667,36,4,4,-10.0,True,30.638870628004046,16.0,-51.604224288811224,6.898882177504409,401.8653593044917,30.638870628004046,19.0
4,53.33301666666667,37,4,5,-2.0,False,20.294088553975286,22.0,57.68187021201687,9.140887012961699,112.29004169926839,20.94745836293309,23.5
4,53.33301666666667,38,4,6,10.0,True,16.25687467927739,38.5,90.91773137822702,13.13051556863161,575.9789409163641,14.321546547664008,29.5
4,53.33301666666667,39,4,7,10.0,True,13.874844806111179,59.5,12.282650381825718,8.105446047471895,192.7308405699173,13.874844806111179,40.0
4,53.33301666666667,40,5,7,-10.0,True,12.616612944575133,26.5,-46.78683442666974,14.99043227678368,411.0127389583431,13.44207608814922,37.0
4,53.33301666666667,41,5,6,10.0,True,11.472483074052871,40.0,8.913078870584282,16.46328219138028,157.63625952332586,10.767970476385223,26.5
4,53.33301666666667,42,5,5,-10.0,True,11.841840586928083,19.0,164.17011671220865,8.809077087395448,176.14983930271865,12.223089594559632,28.0
