map_order,relative_time_min,point_index,row,column,window,far_baseline_150_200nm_pN,positive_fit_bins,log_force_slope_per_nm,log_force_intercept,log_linear_r2,apparent_local_decay_length_nm,fit_status
4,53.33301666666667,36,4,4,20_60nm,-45.45587742938949,9,-0.0301310612281991,5.807061191272455,0.9652552583408602,33.18834316609196,negative_log_slope
4,53.33301666666667,37,4,5,20_60nm,53.06094595729654,9,-0.03809850224726738,6.497732668672505,0.985926179699806,26.24775098794665,negative_log_slope
4,53.33301666666667,38,4,6,20_60nm,86.7979611779272,9,-0.05064683697849803,7.108927623600009,0.9795756716254546,19.744569644587028,negative_log_slope
4,53.33301666666667,39,4,7,20_60nm,18.636303355078756,9,-0.0686166908769811,8.132281656489653,0.9977421738435504,14.573713585122345,negative_log_slope
4,53.33301666666667,40,5,7,20_60nm,-25.882270579011486,8,-0.07071208653398726,8.004126889080634,0.9992781586116076,14.1418539462749,negative_log_slope
4,53.33301666666667,41,5,6,20_60nm,29.316667782169713,5,-0.07708607192145016,7.3522609528511005,0.9958315608572577,12.972512090368138,negative_log_slope
4,53.33301666666667,42,5,5,20_60nm,162.1975069490802,7,-0.06758075728383442,7.41348404883197,0.995434676829223,14.797111488408904,negative_log_slope
4,53.33301666666667,43,5,4,20_60nm,105.15549260430151,9,-0.039410735875795896,6.0551373904726145,0.9761092843670918,25.373796702287663,negative_log_slope
4,53.33301666666667,44,5,3,20_60nm,156.29427623042287,9,-0.024700613209346887,5.445692233650065,0.9058146894621991,40.48482487153772,negative_log_slope
4,53.33301666666667,45,5,2,20_60nm,66.43399975561337,9,-0.024735555907772513,5.336650577845827,0.8070648367337618,40.42763395852267,negative_log_slope
4,53.33301666666667,46,5,1,20_60nm,127.01353313474854,9,-0.020465102597563154,5.491516727141204,0.918504414616,48.86366903037531,negative_log_slope
4,53.33301666666667,47,5,0,20_60nm,67.01408254983804,9,-0.026805079597700333,5.7870577061638775,0.9786366621574006,37.30636189141524,negative_log_slope
4,53.33301666666667,48,6,0,20_60nm,168.61750898635847,8,-0.07095233197096472,7.482993368559152,0.9903267131105223,14.093969461204212,negative_log_slope
4,53.33301666666667,49,6,1,20_60nm,136.80651231875382,4,nan,nan,nan,nan,insufficient_positive_signal
4,53.33301666666667,50,6,2,20_60nm,110.69156462865712,2,nan,nan,nan,nan,insufficient_positive_signal
4,53.33301666666667,51,6,3,20_60nm,171.45895486734645,3,nan,nan,nan,nan,insufficient_positive_signal
4,53.33301666666667,52,6,4,20_60nm,118.66726696899455,5,-0.08846784096902688,7.45086103391313,0.9839453172294996,11.303542496873028,negative_log_slope
4,53.33301666666667,53,6,5,20_60nm,69.36980061646096,4,nan,nan,nan,nan,insufficient_positive_signal
4,53.33301666666667,54,6,6,20_60nm,-38.83452803981021,5,-0.07833121102040116,7.249143358472238,0.9973066982139341,12.766303328816818,negative_log_slope
4,53.33301666666667,55,6,7,20_60nm,-86.85415648682611,9,-0.05573661945443395,7.891775837330674,0.9916124545591853,17.94152587272582,negative_log_slope
4,53.33301666666667,56,7,7,20_60nm,-31.755845742411726,9,-0.03509635765165689,6.629843348055864,0.9925555766097031,28.49298522443084,negative_log_slope
4,53.33301666666667,57,7,6,20_60nm,-60.3872456963718,9,-0.05050913918060942,7.973992148240786,0.9918585657035313,19.798397205389364,negative_log_slope
4,53.33301666666667,58,7,5,20_60nm,-142.1207145142237,9,-0.061224413503586726,7.4169177883960415,0.9978676680374805,16.333353686457393,negative_log_slope
4,53.33301666666667,59,7,4,20_60nm,-77.91643494408687,7,-0.07434453424217619,7.673150925499881,0.9915136313185939,13.450887952872437,negative_log_slope
4,53.33301666666667,60,7,3,20_60nm,-98.8634451263878,6,-0.06938732201014008,7.238147604732254,0.97687769789046,14.411854659182012,negative_log_slope
4,53.33301666666667,61,7,2,20_60nm,-17.64245610766907,5,-0.0797638224358228,7.577116134982572,0.9940144260672352,12.537012011988145,negative_log_slope
4,53.33301666666667,62,7,1,20_60nm,-40.48901923848107,3,nan,nan,nan,nan,insufficient_positive_signal
4,53.33301666666667,63,7,0,20_60nm,-1.3918687145428252,3,nan,nan,nan,nan,insufficient_positive_signal
5,78.6563,0,0,0,20_60nm,-9.003993878703863,8,-0.07838448017025351,8.046005391333745,0.9948867048246108,12.757627502637883,negative_log_slope
5,78.6563,1,0,1,20_60nm,27.417972450058162,6,-0.07154691087569534,6.727079293852709,0.9781714460801004,13.976843832396717,negative_log_slope
5,78.6563,2,0,2,20_60nm,76.61460084023915,7,-0.07997712350316835,7.242204485759582,0.9962849130162903,12.503575475059243,negative_log_slope
5,78.6563,3,0,3,20_60nm,-36.94418162423856,7,-0.060104481414355246,6.188748137741676,0.9820842943986099,16.637694502446234,negative_log_slope
5,78.6563,4,0,4,20_60nm,-4.308824183545442,2,nan,nan,nan,nan,insufficient_positive_signal
5,78.6563,5,0,5,20_60nm,61.31413147627154,2,nan,nan,nan,nan,insufficient_positive_signal
5,78.6563,6,0,6,20_60nm,-33.23816983752547,4,nan,nan,nan,nan,insufficient_positive_signal
