map_order,relative_time_min,point_index,row,column,best_lambda_D_nm,lambda_profile_low_nm,lambda_profile_high_nm,best_zeta_magnitude_mV,zeta_profile_low_mV,zeta_profile_high_mV,profile_grid_points,profile_log_lambda_zeta_correlation,profile_lambda_hits_grid_boundary,profile_zeta_hits_grid_boundary,profile_status
4,53.33301666666667,3,0,3,11.472483074052871,9.190199357757056,13.44207608814922,20.5,19.0,23.5,22,-0.8501547987616097,False,False,diagnostic_correlated_distance_bins_not_formal_CI
4,53.33301666666667,4,0,4,10.106721224330608,7.598961145324,13.02280581041226,17.5,16.0,20.5,32,-0.8277761217667021,False,False,diagnostic_correlated_distance_bins_not_formal_CI
4,53.33301666666667,5,0,5,8.903548887106776,5.7134464487980745,12.616612944575133,16.0,13.0,23.5,67,-0.8949706382711369,False,False,diagnostic_correlated_distance_bins_not_formal_CI
4,53.33301666666667,6,0,6,13.874844806111179,11.841840586928083,18.453731477822707,20.5,19.0,20.5,22,-0.5345224838248489,False,False,diagnostic_correlated_distance_bins_not_formal_CI
4,53.33301666666667,7,0,7,20.94745836293309,19.66109792896721,23.036510285681896,29.5,29.5,29.5,6,nan,False,False,diagnostic_correlated_distance_bins_not_formal_CI
4,53.33301666666667,8,1,7,21.62186346530268,19.047850843082976,23.77817258228512,25.0,25.0,26.5,11,0.11065666703449673,False,False,diagnostic_correlated_distance_bins_not_formal_CI
4,53.33301666666667,9,1,6,18.453731477822707,16.780266063679814,20.294088553975286,22.0,22.0,22.0,7,nan,False,False,diagnostic_correlated_distance_bins_not_formal_CI
4,53.33301666666667,10,1,5,12.223089594559632,10.432107924894561,14.321546547664008,20.5,19.0,22.0,16,-0.8056094727078105,False,False,diagnostic_correlated_distance_bins_not_formal_CI
4,53.33301666666667,11,1,4,10.106721224330608,8.356791719157386,13.02280581041226,19.0,16.0,20.5,27,-0.7820004584995508,False,False,diagnostic_correlated_distance_bins_not_formal_CI
4,53.33301666666667,12,1,3,9.190199357757056,7.1323172791695315,11.472483074052871,19.0,17.5,23.5,29,-0.8713793591804448,False,False,diagnostic_correlated_distance_bins_not_formal_CI
