map_order,relative_time_min,point_index,row,column,rmse_pN,mean_residual_pN,median_residual_pN,lag1_residual_Pearson_rho,Durbin_Watson,residual_sign_runs,runs_test_z,runs_test_p_naive_correlated_bins
3,27.161,44,5,3,10.678141094565405,-3.4566943901842714e-15,1.781029247277047,0.5950038544588169,0.7148543830945097,10,-3.148623861354499,0.001640411890005108
3,27.161,45,5,2,11.848596637856057,-4.8393721462579794e-14,-1.1183540684421587,0.5363318920354311,0.7990797926797628,10,-3.1137192341420836,0.0018474520055344445
3,27.161,46,5,1,13.725498312683024,2.688540081254433e-14,-0.08954505219136877,0.5816503228419945,0.7219029821951489,14,-1.8309104232915465,0.0671139143096102
3,27.161,47,5,0,14.238253035520751,-3.571917536523747e-14,-0.2082411611990551,0.5921965521799356,0.7606109283493596,12,-2.4983358977919132,0.012477789910120008
3,27.161,48,6,0,16.957366257168676,1.920385772324595e-14,1.4187691851750515,0.8785024795084795,0.24152192656409102,5,-4.834325058543196,1.335981315156415e-06
3,27.161,49,6,1,12.873421924622598,1.0370083170552813e-14,0.12804019207921158,0.6607735420455558,0.6545994354974047,6,-4.500612321293013,6.77579882394268e-06
3,27.161,50,6,2,13.210687261521354,-2.3044629267895142e-14,2.089417711562419,0.7413680517210821,0.5104078452437207,8,-3.752145162010069,0.00017532789009653597
3,27.161,51,6,3,12.524003272177925,-1.7283471950921357e-15,0.9012303313524512,0.8107315983318809,0.3773662775912239,10,-3.148623861354499,0.001640411890005108
3,27.161,52,6,4,12.937675605302235,-7.105427357601002e-15,3.227664048638786,0.7024940279421938,0.5886986865460775,7,-4.155820543228705,3.2412216657941134e-05
3,27.161,53,6,5,18.839921935359655,-3.264655812951812e-15,-3.748910491736039,0.8843701402532105,0.22593956778584123,6,-4.491552770520107,7.070577646318873e-06
3,27.161,54,6,6,21.41168746922712,1.0946198902250192e-14,-3.9537641522931892,0.8414326786139453,0.2982588361120005,3,-5.5017505330435625,3.7603878031826156e-08
3,27.161,55,6,7,17.406228701633193,4.954595292597455e-14,-1.6215353548117122,0.623234615522282,0.6811321486081803,9,-3.499474109542463,0.0004661768742750613
3,27.161,56,7,7,10.38098442909515,-5.3770801625088666e-15,0.6959036312373854,0.5002453129864488,0.8438736628764972,12,-2.4983358977919132,0.012477789910120008
3,27.161,57,7,6,22.50108741235443,-1.8819780568781032e-14,1.9748637229828887,0.7666613719779297,0.4460075346126682,6,-4.491552770520107,7.070577646318873e-06
3,27.161,58,7,5,9.704411618049253,1.8243664837083652e-15,-0.40308794339176757,0.010623762910188975,1.5669838500767925,19,-0.16234673704063013,0.8710328119798447
3,27.161,59,7,4,13.220397310665996,-2.266055211343022e-14,-1.0788533916581429,0.6395263559650566,0.6094460271560389,13,-2.0941828477415783,0.03624369511073487
3,27.161,60,7,3,14.63482878093833,2.688540081254433e-14,0.9391332178682461,0.7291040621531178,0.5001027139236346,9,-3.499474109542463,0.0004661768742750613
3,27.161,61,7,2,18.295197899227727,-2.3044629267895142e-15,-4.886162399555673,0.8549616286329548,0.27366837181941783,6,-4.404804692438003,1.0587922671481614e-05
3,27.161,62,7,1,22.270333995024508,6.529311625903624e-15,-2.8518012836535576,0.9130855549620928,0.17018651829312195,4,-5.136976792876628,2.79193417697211e-07
3,27.161,63,7,0,16.436250114929152,-4.2248486991141094e-15,-1.3229230333138347,0.8538386800772093,0.2824107431572761,6,-4.491552770520107,7.070577646318873e-06
