model,map_order,relative_time_min,point_index,row,column,lambda_D_nm,zeta_magnitude_mV,zeta_signed_silica_mV,baseline_pN,rss_pN2,rmse_pN,r2,aic_correlated_bins_diagnostic,bic_correlated_bins_diagnostic,delta_aic_to_best_same_curve,aic_winner_tie_inclusive
equal_sphere_linear_HHF_fixed_no_slip_hydrodynamics,3,27.161,49,6,1,11.841840586928083,31.0,-31.0,93.9450881895881,5282.195639382528,11.948307173304338,0.9532275285452579,189.56363108118506,194.39638481911774,0.8452858849649374,False
equal_sphere_linear_HHF_fixed_no_slip_hydrodynamics,3,27.161,50,6,2,11.114646149663537,26.5,-26.5,97.7645270142844,5517.723515294998,12.211783758957594,0.9051786646051493,191.17770119183464,196.01045492976732,1.9629554102499753,False
equal_sphere_linear_HHF_fixed_no_slip_hydrodynamics,3,27.161,51,6,3,12.223089594559632,32.5,-32.5,60.08195764510941,5032.24975809915,11.662193199347023,0.9640498621128781,187.77006718327152,192.6028209212042,1.483815737071012,False
equal_sphere_linear_HHF_fixed_no_slip_hydrodynamics,3,27.161,52,6,4,13.874844806111179,41.5,-41.5,40.26511731089216,5590.645380247583,12.292213949914604,0.9870523834315947,191.66348768072245,196.49624141865513,1.6699318191999453,False
equal_sphere_linear_HHF_fixed_no_slip_hydrodynamics,3,27.161,53,6,5,11.841840586928083,35.5,-35.5,2.779533373571258,11656.692825394806,17.74952822014426,0.9420802239697724,218.85056129518293,223.6833150331156,1.4929204278827228,False
equal_sphere_linear_HHF_fixed_no_slip_hydrodynamics,3,27.161,54,6,6,16.780266063679814,44.5,-44.5,-78.8221505793631,15474.812325430577,20.450872131955233,0.975242712139451,229.3338891177932,234.16664285572588,0.020794017721641467,False
equal_sphere_linear_HHF_fixed_no_slip_hydrodynamics,3,27.161,55,6,7,18.453731477822707,64.0,-64.0,-53.593151131804575,17239.46562781024,21.585446566015975,0.9938397268488653,233.32942949597606,238.16218323390873,15.92414909532937,False
equal_sphere_linear_HHF_fixed_no_slip_hydrodynamics,3,27.161,56,7,7,24.54371275602257,41.5,-41.5,61.85771805359728,4497.810908163386,11.025536584556273,0.9899644938512332,183.6158426562701,188.44859639420278,6.836242651460509,False
equal_sphere_linear_HHF_fixed_no_slip_hydrodynamics,3,27.161,57,7,6,19.66109792896721,62.5,-62.5,112.05814393298976,25241.23299813056,26.11887222749024,0.9900502176831193,247.4367013896306,252.26945512756328,11.03299221607216,False
equal_sphere_linear_HHF_fixed_no_slip_hydrodynamics,3,27.161,58,7,5,19.66109792896721,53.5,-53.5,-38.4164457806599,4587.790135467041,11.135274041782523,0.9966474305284649,184.34872543276603,189.1814791706987,10.177761913299236,False
equal_sphere_linear_HHF_fixed_no_slip_hydrodynamics,3,27.161,59,7,4,15.749808336458166,56.5,-56.5,-168.33509092849067,6656.382246011174,13.412763431342807,0.9955242255237284,198.1192993888367,202.95205312676939,5.168762025621874,False
equal_sphere_linear_HHF_fixed_no_slip_hydrodynamics,3,27.161,60,7,3,17.320508075688775,46.0,-46.0,-152.8231628413472,6999.950804492988,13.7545577748211,0.9907790345821138,199.98139803524143,204.8141517731741,3.989687133190614,False
equal_sphere_linear_HHF_fixed_no_slip_hydrodynamics,3,27.161,61,7,2,15.258557842693115,41.5,-41.5,-72.96040064050204,11311.362084089309,17.484635791436165,0.9735536378109197,217.73786799895157,222.57062173688425,1.511574361743527,False
equal_sphere_linear_HHF_fixed_no_slip_hydrodynamics,3,27.161,62,7,1,14.321546547664008,38.5,-38.5,-153.72579089767245,17293.744426859426,21.619400963561127,0.9456271040465309,233.4457417192242,238.27849545715688,0.6342508662772275,False
equal_sphere_linear_HHF_fixed_no_slip_hydrodynamics,3,27.161,63,7,0,13.874844806111179,35.5,-35.5,-83.90008151740442,9143.230652388429,15.719870926837919,0.9601739653640535,209.864492639274,214.69724637720668,0.04541491593786873,False
