block,nominal_speed_um_per_s,actual_gap_speed_um_per_s,early_source,late_source,quantity,distance_nm,median_pN,q25_pN,q75_pN,paired_pixel_count
1,0.05,0.0492926380222347,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map,F_sym,160.0,6.979423393716169,-1.7223110129772827,12.45862867401242,64
1,0.05,0.0492926380222347,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map,F_history,160.0,-1.579130679423098,-4.897449549745044,3.705834536097899,64
1,0.05,0.0492926380222347,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map,F_sym,165.0,6.621462450233837,-1.0747537403438703,11.709108686457016,64
1,0.05,0.0492926380222347,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map,F_history,165.0,-0.6657742147975875,-4.5168917675581035,3.710041477206705,64
1,0.05,0.0492926380222347,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map,F_sym,170.0,7.028673298810538,-0.7094795874788894,12.510113557250733,64
1,0.05,0.0492926380222347,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map,F_history,170.0,-0.17316696596864567,-4.939097647714799,4.0315061366337375,64
1,0.05,0.0492926380222347,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map,F_sym,175.0,5.854711985650168,-1.245442139114191,12.104637241308858,64
1,0.05,0.0492926380222347,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map,F_history,175.0,-0.8894231924930871,-5.235081557908564,3.6377519648603434,64
1,0.05,0.0492926380222347,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map,F_sym,180.0,4.791349505938861,-1.4339639100339177,10.54969034898252,64
1,0.05,0.0492926380222347,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map,F_history,180.0,-0.9932864096530906,-4.050970231394796,3.367577502859795,64
1,0.05,0.0492926380222347,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map,F_sym,185.0,3.4667611227283497,-1.1471912210136355,10.213820221172243,64
1,0.05,0.0492926380222347,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map,F_history,185.0,-1.0849927208156636,-3.9790762042085044,1.797428301434289,64
1,0.05,0.0492926380222347,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map,F_sym,190.0,3.2155271676416097,-0.8529983377001611,10.341918951778597,64
1,0.05,0.0492926380222347,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map,F_history,190.0,-1.5160298940906305,-4.159951358915526,1.9889636110001518,64
1,0.05,0.0492926380222347,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map,F_sym,195.0,3.2693949234347093,-1.5237573902335044,9.979174199742829,64
1,0.05,0.0492926380222347,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map,F_history,195.0,-0.8329049179897771,-3.7180575694489675,2.2826993338540653,64
1,0.05,0.0492926380222347,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map,F_sym,200.0,2.5249753188275674,-2.16504582800712,8.931119888174102,64
1,0.05,0.0492926380222347,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map,F_history,200.0,-0.5315465995667981,-2.804548555402028,2.791571080025626,64
1,0.05,0.0492926380222347,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map,F_sym,205.0,2.1470252549006874,-2.6007949881488126,8.481465196218354,64
1,0.05,0.0492926380222347,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map,F_history,205.0,-0.582688703868945,-3.388179715018353,2.409817247886018,64
1,0.05,0.0492926380222347,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map,F_sym,210.0,1.3701161404880269,-1.9947623162976078,8.604805344201845,64
1,0.05,0.0492926380222347,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map,F_history,210.0,-0.23242525506132594,-3.361623867158067,2.740684736862736,64
1,0.05,0.0492926380222347,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map,F_sym,215.0,1.8396359163458635,-0.7314768015264245,8.349306644885447,64
1,0.05,0.0492926380222347,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map,F_history,215.0,-0.4488111862856765,-2.9097573239743033,2.4921874798419847,64
1,0.05,0.0492926380222347,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map,F_sym,220.0,1.7692601142883049,-2.3234902090248193,7.69961392469986,64
1,0.05,0.0492926380222347,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map,F_history,220.0,-0.5714791235744517,-2.8946590761240114,2.2168256624908356,64
1,0.05,0.0492926380222347,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map,F_sym,225.0,1.5027421726856955,-1.6690862773780972,5.97164607164975,64
1,0.05,0.0492926380222347,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map,F_history,225.0,0.23471734282680487,-2.1781540852892842,2.3118386319222566,64
1,0.05,0.0492926380222347,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map,F_sym,230.0,2.053516692365646,-2.177177485088307,4.770159713599168,64
1,0.05,0.0492926380222347,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map,F_history,230.0,-0.06973890738574018,-2.4793289251317825,1.7971097784186958,64
1,0.05,0.0492926380222347,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map,F_sym,235.0,1.605652243413576,-1.985916286448054,5.279410262041274,64
1,0.05,0.0492926380222347,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map,F_history,235.0,0.0743558790043195,-2.2563051276811628,2.4917324245109853,64
1,0.05,0.0492926380222347,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map,F_sym,240.0,0.5231285015533986,-2.4555664433273616,4.142173023920027,64
1,0.05,0.0492926380222347,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map,F_history,240.0,-0.3196955342475436,-2.262901093949881,1.8535090748188243,64
1,0.05,0.0492926380222347,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map,F_sym,245.0,1.5959452637974962,-1.1994729407543125,4.359521003323197,64
1,0.05,0.0492926380222347,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map,F_history,245.0,-0.1090621522129177,-2.3753258883248902,1.939390869233821,64
1,0.05,0.0492926380222347,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map,F_sym,250.0,1.1530970036127033,-0.7731190763765923,4.50400768786899,64
1,0.05,0.0492926380222347,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map,F_history,250.0,-0.6715607132855367,-2.082147957064886,1.8005303441607865,64
1,0.05,0.0492926380222347,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map,F_sym,255.0,0.528429977929889,-0.7703804381997632,3.37237677242959,64
1,0.05,0.0492926380222347,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map,F_history,255.0,-0.0982226098603054,-2.3199269877320075,1.5555907474202484,64
1,0.05,0.0492926380222347,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map,F_sym,260.0,0.47919774679163696,-1.3769383921130725,1.9735819099595122,64
