acquisition_order,baseline_method,distance_nm,finite_pixel_count,force_pixel_median_pN,spatial_mad_pN,reference_subtracted_spatial_mad_pN,reference_definition
3,far_constant_referenced,135.0,64,67.37268063788206,43.54546072701232,29.855807308467423,subtract each pixel median force over 200-250 nm before spatial MAD
3,far_constant_referenced,140.0,64,72.22825641233163,34.61595065565393,30.249612163814,subtract each pixel median force over 200-250 nm before spatial MAD
3,far_constant_referenced,145.0,64,70.59099230463005,40.15616876912374,28.85231912911819,subtract each pixel median force over 200-250 nm before spatial MAD
3,far_constant_referenced,150.0,64,70.83621868019307,43.549251312547604,25.599257117072618,subtract each pixel median force over 200-250 nm before spatial MAD
3,far_constant_referenced,155.0,64,63.41619548843446,36.67220462626309,25.167592633067137,subtract each pixel median force over 200-250 nm before spatial MAD
3,far_constant_referenced,160.0,64,60.63212002415109,42.575949137489296,28.545512834368317,subtract each pixel median force over 200-250 nm before spatial MAD
3,far_constant_referenced,165.0,64,60.46094484274194,44.46560225134386,21.505840783474067,subtract each pixel median force over 200-250 nm before spatial MAD
3,far_constant_referenced,170.0,64,65.61534446758716,43.46590465752249,21.782183714009413,subtract each pixel median force over 200-250 nm before spatial MAD
3,far_constant_referenced,175.0,64,65.17602601473868,43.84843020958281,24.652673947335835,subtract each pixel median force over 200-250 nm before spatial MAD
3,far_constant_referenced,180.0,64,60.21574964662818,40.152378183592155,22.380633961382784,subtract each pixel median force over 200-250 nm before spatial MAD
3,far_constant_referenced,185.0,64,57.52614791635445,42.54571690654873,19.9985283150647,subtract each pixel median force over 200-250 nm before spatial MAD
3,far_constant_referenced,190.0,64,59.344782885674675,51.2251870128245,23.535560655363955,subtract each pixel median force over 200-250 nm before spatial MAD
3,far_constant_referenced,195.0,64,61.11995370146204,45.904591726885336,21.630745199384847,subtract each pixel median force over 200-250 nm before spatial MAD
3,far_constant_referenced,200.0,64,55.45979221545941,40.83399017938102,18.813230710179308,subtract each pixel median force over 200-250 nm before spatial MAD
3,far_constant_referenced,205.0,64,52.328284137975125,42.295815621413155,11.640795712391187,subtract each pixel median force over 200-250 nm before spatial MAD
3,far_constant_referenced,210.0,64,57.67434384299251,46.65457294218988,9.876231921056998,subtract each pixel median force over 200-250 nm before spatial MAD
3,far_constant_referenced,215.0,64,51.8455638904923,43.75750238349271,12.587517562087946,subtract each pixel median force over 200-250 nm before spatial MAD
3,far_constant_referenced,220.0,64,52.94133448714682,41.86780304298114,11.171317826380115,subtract each pixel median force over 200-250 nm before spatial MAD
