acquisition_order,source,speed_um_per_s,distance_nm,available_pixels,map_median_force_pN,map_force_q25_pN,map_force_q75_pN,map_force_spatial_mad_pN
2,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.11.30.037.jpk-force-map,0.3,50.0,64,485.8337016909536,403.5649575201674,542.4273710165363,93.7852226639147
2,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.11.30.037.jpk-force-map,0.3,55.0,64,425.9211236064862,354.98684425734507,483.9838025034084,93.38987867610965
2,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.11.30.037.jpk-force-map,0.3,60.0,64,388.7991312093204,331.42874694062186,438.24209916115683,80.09718319207074
2,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.11.30.037.jpk-force-map,0.3,65.0,64,339.0324816380038,295.90302001484145,385.39911565982493,67.1590814208569
2,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.11.30.037.jpk-force-map,0.3,70.0,64,314.0273516997411,285.3024925378328,350.93556379404777,54.291549595399864
2,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.11.30.037.jpk-force-map,0.3,75.0,64,288.0881889692687,252.27178312585608,324.3818914178715,54.14171434683816
2,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.11.30.037.jpk-force-map,0.3,80.0,64,271.45815732978855,229.47882826869403,299.02155996039716,51.21481786354075
2,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.11.30.037.jpk-force-map,0.3,85.0,64,233.57880925512453,191.6254747920212,276.50766183444784,63.43405432583506
2,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.11.30.037.jpk-force-map,0.3,90.0,64,209.82478324761038,187.08084369838903,246.87313256761124,48.55973725902781
2,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.11.30.037.jpk-force-map,0.3,95.0,64,206.65362453645741,181.37337267706724,243.5340444458507,45.45345605109923
2,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.11.30.037.jpk-force-map,0.3,100.0,64,188.37869317294434,163.5103206656074,229.19299538032504,44.747560088285965
2,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.11.30.037.jpk-force-map,0.3,105.0,64,178.59582751536448,154.14485137801097,204.696673663174,39.56127087245549
2,raw/keeper_6e87fc8bc37b4a89aeda/12-09-26_99.7wt_glycerol_D3/map-data-2026.09.12-15.11.30.037.jpk-force-map,0.3,110.0,64,158.81302722449567,137.4388323429363,175.33780476516085,27.833887035930974
