concentration_wt_percent,primary_included,source,timestamp,metric,valid_pixels,median,mad,robust_slope_per_acquisition,robust_change_across_map,pearson_correlation_acquisition_order,spatial_plane_column_slope_per_pixel,spatial_plane_row_slope_per_pixel,spatial_plane_r2,spatial_plane_inliers
30,True,20-08-26/30/map-data-2026.08.20-16.20.49.532.jpk-force-map,2026-08-20T16:20:49.532000,approach_contact_response_ratio,149,0.9622800175261718,0.014136038479626207,6.667776710526154e-05,0.009868309531578709,0.2282711426176026,0.00015445265430221735,0.0010521505534961627,0.041154599991746754,145
30,True,20-08-26/30/map-data-2026.08.20-16.20.49.532.jpk-force-map,2026-08-20T16:20:49.532000,approach_contact_height_um,149,6.730520293733399,0.03539202095909339,0.0005701922479570205,0.08438845269763905,0.9839363351913786,-0.0004897897279488601,0.008921978325239279,0.9816329425853711,147
30,True,20-08-26/30/map-data-2026.08.20-16.20.49.532.jpk-force-map,2026-08-20T16:20:49.532000,approach_terminal_load_nN,149,6.66705720096232,0.1317025917276296,-0.00015850803576729236,-0.02345918929355927,-0.06289840118367106,-0.00032738048298645026,-0.002321274497500277,0.003748714257894803,149
30,True,20-08-26/30/map-data-2026.08.20-16.20.49.532.jpk-force-map,2026-08-20T16:20:49.532000,approach_far_slope_pN_per_100nm,149,0.6563158453848801,4.34866489819346,0.0038733275175659235,0.5732524725997566,0.029708776130399815,-0.02305535800125562,0.01741335446222672,0.0007429246331691619,146
30,True,20-08-26/30/map-data-2026.08.20-16.20.49.532.jpk-force-map,2026-08-20T16:20:49.532000,approach_snap_distance_nm,141,17.52728968048471,6.72016082440488,0.06604441996825026,9.708529735332789,0.4128512332803426,0.05942291879065022,1.1136098266498484,0.3154012682791304,126
30,True,20-08-26/30/map-data-2026.08.20-16.20.49.532.jpk-force-map,2026-08-20T16:20:49.532000,approach_barrier_force_nN,141,1.9942342842219498,0.5966619589216523,-0.007814825810407381,-1.148779394129885,-0.4797218205631868,0.01245322741702403,-0.11700650834559136,0.25867904307921163,140
30,True,20-08-26/30/map-data-2026.08.20-16.20.49.532.jpk-force-map,2026-08-20T16:20:49.532000,retract_contact_invOLS_nm_per_V,18,58.63075903411472,0.12015521504479344,0.0029381679536380424,0.3085076351319945,0.44781014237161854,0.005960012721399469,0.05437824840656398,0.642382166223211,17
30,True,20-08-26/30/map-data-2026.08.20-16.20.49.532.jpk-force-map,2026-08-20T16:20:49.532000,retract_detachment_piezo_travel_nm,18,865.0122630536332,27.815031328060932,-0.09831610489980458,-10.32319101447948,0.2648590388865843,0.4541522147709369,1.559997924148331,-0.09710234163317732,14
30,True,20-08-26/30/map-data-2026.08.20-16.20.49.532.jpk-force-map,2026-08-20T16:20:49.532000,retract_pull_off_force_nN,1,-79.80535169645569,0.0,nan,nan,nan,nan,nan,nan,0
30,True,20-08-26/30/map-data-2026.08.20-16.24.44.981.jpk-force-map,2026-08-20T16:24:44.981000,approach_contact_invOLS_nm_per_V,111,60.80096347317643,0.6840453977578752,0.003957820424398703,0.4353602466838573,0.1814163876513923,-0.010476194932615538,0.04424201610294917,0.018363160733522954,107
