location,location_order,instrument_scan_number,point_index,gap_speed_um_per_s,far_sample_count,far_distance_min_nm,far_distance_max_nm,hydro_far_line_slope_pN_per_nm,hydro_far_line_intercept_pN
A,11,15,57,3.9494501390607075,197,699.1763868794859,890.4506185352838,-0.0021536431861825345,3.4257583855415783
A,11,15,58,3.9459624390879133,197,696.5423819878872,887.60286928257,-0.0021668550244195897,3.4347932981839424
A,11,15,59,3.946452808077397,199,702.6219926637774,895.8794667232365,-0.0021282993554986598,3.4043282430048145
A,11,15,60,3.921731823369703,200,714.8542063601277,909.1589107055555,-0.002049716028903051,3.3302280801610724
A,11,15,61,3.9274281680468914,200,712.0698265907944,906.3597915456585,-0.0020662489167641213,3.3461138400766965
A,11,15,62,3.9327756244316405,200,713.5743050629393,910.1683308325236,-0.0020603286118646463,3.3435823453276776
A,11,15,63,3.9349646306418515,200,713.1919784613532,911.8287338612769,-0.002063134278986859,3.346822380757846
A,12,16,0,0.989237880707001,200,711.3300189667887,910.3821125763823,-0.0005210564292761432,0.8433217165947317
A,12,16,1,0.985622116346123,200,712.5916034223203,911.7625032568122,-0.0005175761544824958,0.838959398514022
A,12,16,2,0.9846299249822569,200,711.6509524868452,910.7567605887892,-0.0005182675594992358,0.8391019355907653
A,12,16,3,0.9852665468288562,200,713.347809394678,912.4466376122613,-0.0005164274704460585,0.8378727530899361
A,12,16,4,0.9884629940371442,200,704.7124869060356,903.8263796643133,-0.0005294394649062556,0.8497846974846976
A,12,16,5,0.9924268915807027,200,710.2269947954138,908.3346345677894,-0.0005241958543119983,0.8472287517512831
A,12,16,6,0.9905325294812244,200,714.092522574812,913.2980070250318,-0.0005181481223065112,0.8415022257686919
A,12,16,7,0.9930312821277015,200,715.6732299794369,914.8131942778017,-0.0005174418597780374,0.8419804041941028
A,12,16,8,0.9896854313202401,198,704.7797310283017,901.1923531837185,-0.0005309631188844527,0.8514915731078967
A,12,16,9,0.9876969516586519,194,690.4772273909617,882.6662959525811,-0.0005522252646708388,0.8675013199254762
A,12,16,10,0.9898771763519983,194,678.7306751448117,870.912550573767,-0.0005708460108707187,0.883048596831263
A,12,16,11,0.981583345685431,198,700.5109037664892,896.2818887273834,-0.0005326699410544405,0.8493864259034754
A,12,16,12,0.9911293483276555,198,703.0261702875996,899.5160629604562,-0.000533986882554262,0.854544627346159
A,12,16,13,0.9898104077321848,199,707.8934191282734,904.9247095395907,-0.0005268000126490354,0.8482045415055088
A,12,16,14,0.9853448643009223,200,710.0102689270831,909.1206662678942,-0.0005206324219383993,0.8413274770288588
A,12,16,15,0.98711027579411,200,710.7090534141291,909.699835648465,-0.0005208015237858561,0.8422145240071741
A,12,16,16,0.9849488398633884,197,698.4947451503374,893.7276983922668,-0.0005377329590492601,0.8548660527917455
A,12,16,17,0.9889597051120136,198,698.6444793861035,894.6136594627243,-0.0005391105852618948,0.8577199666208497
A,12,16,18,0.9907142065863866,200,708.3499883807016,906.5816688399127,-0.0005257750945389701,0.8477815899481089
A,12,16,19,0.9903666410255504,200,713.4936813174462,912.7064896589593,-0.000518801787716541,0.8419659069059875
A,12,16,20,0.990149288267516,200,712.1218435589927,911.1874550778734,-0.000520641269607682,0.8433721419094382
A,12,16,21,0.9882634419258512,200,706.420180619224,905.5705730309837,-0.0005269219779755555,0.8476656380531573
A,12,16,22,0.9861308019083077,200,713.9328871556114,913.0123210411765,-0.0005161987021571102,0.8380508182333655
A,12,16,23,0.9883783084611004,200,713.0728633250992,912.2271886217234,-0.0005183060950539416,0.8407196607626418
A,12,16,24,0.9879457955360978,197,699.3837282006425,894.6535804395744,-0.0005380207525072429,0.8563889076005743
A,12,16,25,0.9901035622136146,194,683.8209385544928,876.087272276616,-0.0005629475335245936,0.8769872688998936
A,12,16,26,0.988154632794348,198,701.8208923140414,898.0378557967144,-0.0005342906591411488,0.8535114627293297
A,12,16,27,0.9875668122210987,194,688.2490839253275,880.4717778522887,-0.0005553571487870764,0.8699131982757095
A,12,16,28,0.9910998398620594,197,698.9120436710999,894.1879477159167,-0.0005403770158466874,0.8596334649429295
A,12,16,29,0.9902613049859409,199,707.0958254895893,904.2941404540151,-0.0005278643489693365,0.8492579626638099
A,12,16,30,0.9883226790968649,200,711.8194413923188,910.8914576932032,-0.0005199682072556244,0.8420506600820439
A,12,16,31,0.9831160545903961,200,712.7067894375399,911.899576305628,-0.0005159820943162422,0.8365990444998157
A,12,16,32,0.9809581166573659,200,709.3800627291347,907.5795496614622,-0.0005192895681859377,0.8383724381550861
A,12,16,33,0.9877205060624362,197,695.0698390599715,890.4552482597423,-0.0005438590072243907,0.8609488656136681
A,12,16,34,0.9900271391572001,199,701.7932418401696,898.9243796146253,-0.0005348130498815866,0.8547578225373651
A,12,16,35,0.9901196745661467,200,707.7971141736449,906.8783726681163,-0.0005261744184858196,0.847852435327932
A,12,16,36,0.9864674623113465,200,711.3406503593192,910.4993756059182,-0.0005196321218180513,0.8409903520401913
A,12,16,37,0.9845965637620542,200,709.7755686192241,908.9648237205922,-0.0005205984580162519,0.840981358481529
A,12,16,38,0.9837762035060366,200,714.215612505113,913.2566980012439,-0.0005145538386218336,0.8357133381632247
A,12,16,39,0.9872419361201634,200,716.6940224353461,915.8808870680826,-0.0005130925489761558,0.8359812274256964
A,12,16,40,0.9850115629494625,200,715.6478083940644,914.6147636911373,-0.0005134253702514192,0.8353132978226894
A,12,16,41,0.97902296720523,196,697.3799560511244,891.5751412289187,-0.0005364977412437142,0.8512967565236261
A,12,16,42,0.9791957332847672,195,692.6043123670062,885.9846358247931,-0.0005437277443890729,0.8570957852279033
