branch,approach_speed_um_per_s,scanner_travel_bin_center_nm,contributing_curves,delta_V_q25,delta_V_median,delta_V_q75,delta_nN_prior_D3_scale_q25,delta_nN_prior_D3_scale_median,delta_nN_prior_D3_scale_q75
approach,0.1,347.5,512,0.009740518678978134,0.013773706181395635,0.018249965807918545,0.21259243231622568,0.30061907333862053,0.39831601875233835
approach,0.1,352.5,512,0.010923991777038792,0.01532180409874534,0.02046073351607544,0.23842241455736946,0.33440720234486604,0.4465672977501985
approach,0.1,357.5,512,0.012566245788500477,0.017120997911983855,0.022516654166360034,0.2742655545670702,0.3736756439515925,0.4914389504925154
approach,0.1,362.5,512,0.014207688427159276,0.019335234986281535,0.02518302612781835,0.31009098589786316,0.42200264386440317,0.5496340548219777
approach,0.1,367.5,512,0.016019115406178952,0.022014692506885453,0.029382338561488933,0.3496264233960874,0.48048334806166154,0.6412864681843691
approach,0.1,372.5,512,0.018321949940862142,0.02533047488406659,0.03364730127528889,0.399887113928582,0.5528522088819321,0.7343717367359884
approach,0.1,377.5,512,0.020805957695526137,0.028609623813961187,0.03842785768502095,0.4541020143728554,0.624421523608258,0.8387101347684515
approach,0.1,382.5,512,0.024495340747081873,0.03305587585678921,0.04508832177265151,0.534624925167045,0.7214635362185104,0.9840786010083621
approach,0.1,387.5,512,0.02746309564134959,0.03884903595346022,0.051837883910571585,0.5993978856514189,0.847902593145384,1.131391683531034
approach,0.1,392.5,512,0.029495435030832934,0.04438353985616311,0.05916938598357252,0.6437548637900475,0.9686963296102153,1.291405940430363
approach,0.1,397.5,512,0.035400349737799555,0.05121643769836576,0.06814154365666109,0.772633029475736,1.1178282618939839,1.487228451090205
approach,0.1,402.5,512,0.03860519165854301,0.061479665402551564,0.08034561890693007,0.842580550914228,1.3418291198520975,1.7535894249903257
approach,0.1,407.5,512,0.044760397145969466,0.07232148326104357,0.0996735376327105,0.9769214570922806,1.5784580412914342,2.175432387253918
approach,0.1,412.5,512,0.053898891805756466,0.09131293952122255,0.13790407251123404,1.176374368324393,1.9929575163853235,3.0098358380800367
approach,0.1,417.5,512,0.05794402185370505,0.11723737266965056,0.21733647916141757,1.2646616622838824,2.5587732066050037,4.743493879405781
approach,0.1,422.5,512,0.0940732291013246,0.17277689782705424,0.305592605368117,2.0532024268537454,3.7709553431048786,6.669734683972297
approach,0.1,427.5,512,0.17521651229565469,0.251651087636764,0.40214494270041945,3.82420133450295,5.4924299802621865,8.777045076342931
approach,0.1,432.5,512,0.2645408806713409,0.3469942806473551,0.4937571557242164,5.773757139891526,7.573350101144635,10.776534409352907
approach,0.1,437.5,512,0.3574311546461028,0.4365140737594858,0.5920059936319894,7.801140889530508,9.527171164003038,12.920871904247715
approach,0.1,442.5,512,0.4523312386836094,0.527407553704273,0.6884546560141007,9.872389901771434,11.510973733454662,15.025919531096532
approach,0.1,447.5,512,0.5478635642936562,0.6256798901364602,0.7818213963264168,11.95743795060862,13.655824097183842,17.06370243307594
approach,0.1,452.5,512,0.6419243718127219,0.7201203081898048,0.8781984131690338,14.01036926927268,15.717040634476907,19.16718635474563
approach,0.1,457.5,512,0.7383533672689766,0.8188285736062716,0.9758989772033027,16.11498765413328,17.87140539945508,21.299557456454906
approach,0.1,462.5,512,0.8349172431985682,0.9128754737644326,1.072333872667788,18.222549883037885,19.924033181954464,23.40430461239452
approach,0.1,467.5,510,0.9329715289259097,1.0084195215214002,1.1665732531203883,20.36264116450059,22.009337073402087,25.461133388220475
approach,0.1,472.5,498,1.02999697516709,1.1002431586911872,1.254937880798271,22.480277431396356,24.01344086021352,27.38974229991033
approach,0.1,477.5,482,1.125938206249761,1.1941227658749858,1.3456260771665582,24.574250077770646,26.062417377159058,29.369064437027603
approach,0.1,482.5,458,1.2226111815773653,1.2766606299683578,1.4370948419817569,26.684193463896154,27.863853816438784,31.36542293023506
approach,0.1,487.5,431,1.3195465758663834,1.36488277168268,1.5256420521792529,28.799864295051183,29.789352889878487,33.29801681061317
retract_far_to_contact,0.1,2.5,512,-0.0012537983316833201,6.174220255880658e-05,0.0014397897294909714,-0.02736487098390803,0.0013475591445521265,0.03142424040282397
retract_far_to_contact,0.1,7.5,512,-0.00137295402465816,-0.00010001508178109075,0.001334964117784207,-0.029965512636443124,-0.0021828867850781568,0.029136361030458226
retract_far_to_contact,0.1,12.5,512,-0.0032173309435864494,-6.008886534780711e-05,0.0028078748220681793,-0.07022010155778032,-0.00131147410732676,0.06128348579129127
retract_far_to_contact,0.1,17.5,512,-0.004378038325231315,-0.0007181031700470575,0.002583296981084282,-0.09555320892133672,-0.01567301543230672,0.05638194501788946
retract_far_to_contact,0.1,22.5,512,-0.0047009758249939165,-0.0009797573413296568,0.002420800631371983,-0.10260150591899254,-0.021383768476567578,0.052835368560682786
retract_far_to_contact,0.1,27.5,512,-0.005118438603922859,-0.0013072543808018977,0.0023766604213155407,-0.11171287159662659,-0.028531580055434214,0.051871983044149625
retract_far_to_contact,0.1,32.5,512,-0.004923334384069597,-0.0022076167728162788,0.0011062849159058363,-0.1074546095860746,-0.04818250801859202,0.02414530569247327
retract_far_to_contact,0.1,37.5,512,-0.005480250386056429,-0.0021121000475343155,0.0005815770074005661,-0.11960962220503601,-0.04609780045590363,0.012693253270928354
retract_far_to_contact,0.1,42.5,512,-0.00636870708151864,-0.001948920253550257,0.0011432214981896838,-0.13900070148129512,-0.042536307433689025,0.024951467882390173
retract_far_to_contact,0.1,47.5,512,-0.006339375294194066,-0.002652727410253436,0.0010352025400532233,-0.1383605183229823,-0.05789730413790074,0.022593891884301352
retract_far_to_contact,0.1,52.5,512,-0.006780096731541674,-0.0031339500471598836,0.0001767089314057002,-0.1479795176214324,-0.06840026545210277,0.003856774241459593
retract_far_to_contact,0.1,57.5,512,-0.008056910379329013,-0.0039973424842300875,-0.00020677978410249542,-0.175846711139934,-0.08724430284780382,-0.00451308792734488
retract_far_to_contact,0.1,62.5,512,-0.008255628580184249,-0.004655639066014183,1.5377843747943487e-05,-0.18018385036810403,-0.10161200503279876,0.0003356302999767092
retract_far_to_contact,0.1,67.5,512,-0.009019607338621921,-0.0046874223533408255,-0.0006914182518404227,-0.19685812694895174,-0.10230569359112562,-0.01509060171752668
retract_far_to_contact,0.1,72.5,512,-0.008870299447091085,-0.004550900362276733,-0.0008384484593078056,-0.19359939619028566,-0.09932602247693664,-0.0182996207091857
