source,location,location_order,relative_time_min,nominal_speed_um_per_s,point_index,row,column,distance_nm,normalization_valid,normalization_denominator_pN,normalization_threshold_pN,normalized_force
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,22,2,6,100.0,True,647.8452222817064,50.0,0.13388626522504507
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,23,2,7,100.0,True,440.92222506903903,50.0,0.15141760193583248
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,24,3,7,100.0,True,988.1296829250637,86.67228718641334,0.09059799069746495
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,25,3,6,100.0,True,291.2067736446605,62.19268858905406,-0.15785972329709758
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,26,3,5,100.0,True,372.72791572485124,50.0,0.0007501315288653025
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,27,3,4,100.0,True,704.9790711741634,80.91689191464664,0.18283165614524238
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,28,3,3,100.0,True,716.6772847342406,50.0,0.1663683686512696
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,29,3,2,100.0,True,678.9147597348574,68.0245908612397,-0.023766752302531106
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,30,3,1,100.0,True,746.4377698018333,50.0,0.034308015333265884
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,31,3,0,100.0,True,1102.310223610666,50.0,-0.06937205129123307
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,32,4,0,100.0,True,1436.4042436584898,69.92868971796334,0.10936862209952186
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,33,4,1,100.0,True,954.9042912702889,50.0,0.047676150262614736
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,34,4,2,100.0,True,1031.7441403746773,50.0,0.12454385797728643
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,35,4,3,100.0,True,1071.266822376675,50.0,0.10354685161309685
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,36,4,4,100.0,True,1094.4686086221054,50.0,0.1793893906127509
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,37,4,5,100.0,True,868.3400564981607,50.0,0.08373582689540446
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,38,4,6,100.0,True,1169.0884073678956,50.0,0.15695121403761522
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,39,4,7,100.0,True,1441.626957461372,50.0,0.10020156838285223
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,40,5,7,100.0,True,1060.2444293107083,62.09824176641402,0.04806118557265856
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,41,5,6,100.0,True,1247.737443343041,50.0,0.12386922088974939
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,42,5,5,100.0,True,1152.4307115684016,61.45220229635648,0.06578441203084338
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,43,5,4,100.0,True,1459.0674998750453,50.0,0.11852446864953241
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,44,5,3,100.0,True,1119.3571007139524,50.0,0.11421358479955544
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,45,5,2,100.0,True,1115.1881717400988,50.0,0.10879975388561718
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,46,5,1,100.0,True,902.4571546108949,50.0,0.13522294045233085
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,47,5,0,100.0,True,1002.7165790131991,50.0,0.08101825475283429
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,0.0,2.0,48,6,0,100.0,True,722.9138918233826,50.0,0.11258855425597952
