source,location,location_order,block_in_location,instrument_scan_number,map_midpoint_time,relative_time_min,nominal_speed_um_per_s,baseline,distance_nm,force_median_pN,force_q25_pN,force_q75_pN,finite_pixels
10-09-26/map-data-2026.09.10-14.03.54.053.jpk-force-map,A,12,2,16,2026-09-10T14:04:57.680000+02:00,44.56829166666667,1.0,linear,50.0,298.36492990059605,202.4485524290904,364.333710940132,64
10-09-26/map-data-2026.09.10-14.03.54.053.jpk-force-map,A,12,2,16,2026-09-10T14:04:57.680000+02:00,44.56829166666667,1.0,linear,100.0,83.91063548489718,36.06606589133203,113.65221959368711,64
10-09-26/map-data-2026.09.10-14.03.54.053.jpk-force-map,A,12,2,16,2026-09-10T14:04:57.680000+02:00,44.56829166666667,1.0,linear,200.0,2.7477836807325753,-20.871856775743286,29.742161292798514,64
10-09-26/map-data-2026.09.10-14.03.54.053.jpk-force-map,A,12,2,16,2026-09-10T14:04:57.680000+02:00,44.56829166666667,1.0,constant,20.0,658.0134743075225,539.6827552977476,990.6521107280983,64
10-09-26/map-data-2026.09.10-14.03.54.053.jpk-force-map,A,12,2,16,2026-09-10T14:04:57.680000+02:00,44.56829166666667,1.0,constant,50.0,259.16371203889645,216.60943586673514,347.615717728719,64
10-09-26/map-data-2026.09.10-14.03.54.053.jpk-force-map,A,12,2,16,2026-09-10T14:04:57.680000+02:00,44.56829166666667,1.0,constant,100.0,75.05243765092143,58.76405143879229,94.26241218689158,64
10-09-26/map-data-2026.09.10-14.03.54.053.jpk-force-map,A,12,2,16,2026-09-10T14:04:57.680000+02:00,44.56829166666667,1.0,constant,200.0,2.744299002837455,-7.043636751074135,8.66623002388782,64
10-09-26/map-data-2026.09.10-14.07.52.999.jpk-force-map,A,13,3,17,2026-09-10T14:08:09.402000+02:00,47.76365833333333,4.0,linear,20.0,676.8715455032211,526.2872691404322,868.440602629293,64
10-09-26/map-data-2026.09.10-14.07.52.999.jpk-force-map,A,13,3,17,2026-09-10T14:08:09.402000+02:00,47.76365833333333,4.0,linear,50.0,263.8893602576798,212.30173955230077,316.21597468521463,64
10-09-26/map-data-2026.09.10-14.07.52.999.jpk-force-map,A,13,3,17,2026-09-10T14:08:09.402000+02:00,47.76365833333333,4.0,linear,100.0,73.68690058642707,55.3236182173535,91.2096481252809,64
10-09-26/map-data-2026.09.10-14.07.52.999.jpk-force-map,A,13,3,17,2026-09-10T14:08:09.402000+02:00,47.76365833333333,4.0,linear,200.0,-3.542930695432614,-16.156182232431117,13.101696609057687,64
