source,location,location_order,block_in_location,instrument_scan_number,map_midpoint_time,relative_time_min,nominal_speed_um_per_s,baseline,distance_nm,point_index,row,column,force_pN
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear,50.0,58,7,5,414.6011942376151
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear,50.0,59,7,4,359.9957211451468
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear,50.0,60,7,3,329.28627921467074
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear,50.0,61,7,2,412.69175041344556
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear,50.0,62,7,1,347.54673164807656
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear,50.0,63,7,0,205.01294017023267
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear,100.0,0,0,0,70.41561574854921
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear,100.0,1,0,1,73.79323329551559
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear,100.0,2,0,2,128.34695957327696
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear,100.0,3,0,3,71.11051156703724
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear,100.0,4,0,4,65.73806697418077
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear,100.0,5,0,5,62.92251958058975
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear,100.0,6,0,6,-12.036774652763542
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear,100.0,7,0,7,50.63134430699158
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear,100.0,8,1,7,158.86809909791273
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear,100.0,9,1,6,-1.0261224782140879
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear,100.0,10,1,5,230.29744146678024
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear,100.0,11,1,4,287.74542577006866
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear,100.0,12,1,3,-91.71591694427585
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear,100.0,13,1,2,-128.66757144659957
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear,100.0,14,1,1,-4.092368322996538
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear,100.0,15,1,0,287.69154137333106
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear,100.0,16,2,0,163.13726911346512
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear,100.0,17,2,1,131.03708360940297
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear,100.0,18,2,2,123.67278007219555
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear,100.0,19,2,3,49.85860861920376
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear,100.0,20,2,4,68.3318666108159
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear,100.0,21,2,5,101.94663078810733
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,A,1,1,5,2026-09-10T13:20:23.582500+02:00,0.0,2.0,linear,100.0,22,2,6,110.20055472575973
