source,timestamp,acquisition_order,block,nominal_speed_um_per_s,baseline_method,distance_nm,force_median_pN,force_q25_pN,force_q75_pN,pixel_count,location,location_order,block_in_location,global_primary_order,instrument_scan_number,map_start_time,map_end_time,map_midpoint_time,fixed_pixel_time,relative_time_min,idle_before_map_s,spring_constant_used_N_per_m,spring_constant_repeatability_sd_N_per_m,stored_spring_constant_N_per_m,stored_InvOLS_nm_per_V
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,2026-09-10T13:19:51.438000,1,1,2.0,linear_drift_corrected,210.0,13.574970873895449,-27.09918150413747,60.1727321424104,64,A,1,1,1,5,2026-09-10T13:19:50.937000+02:00,2026-09-10T13:20:56.228000+02:00,2026-09-10T13:20:23.582500+02:00,2026-09-10T13:20:19.482000+02:00,0.0,nan,0.16482877909505173,0.01728282630942144,0.17713312641473047,71.00506298341986
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,2026-09-10T13:19:51.438000,1,1,2.0,linear_drift_corrected,215.0,10.015915414028996,-24.714843427600833,49.85053622000443,64,A,1,1,1,5,2026-09-10T13:19:50.937000+02:00,2026-09-10T13:20:56.228000+02:00,2026-09-10T13:20:23.582500+02:00,2026-09-10T13:20:19.482000+02:00,0.0,nan,0.16482877909505173,0.01728282630942144,0.17713312641473047,71.00506298341986
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,2026-09-10T13:19:51.438000,1,1,2.0,linear_drift_corrected,220.0,6.342501291223339,-24.55765701084836,48.03760427544331,64,A,1,1,1,5,2026-09-10T13:19:50.937000+02:00,2026-09-10T13:20:56.228000+02:00,2026-09-10T13:20:23.582500+02:00,2026-09-10T13:20:19.482000+02:00,0.0,nan,0.16482877909505173,0.01728282630942144,0.17713312641473047,71.00506298341986
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,2026-09-10T13:19:51.438000,1,1,2.0,linear_drift_corrected,225.0,4.616938396158263,-23.892079573755424,43.508874950978935,64,A,1,1,1,5,2026-09-10T13:19:50.937000+02:00,2026-09-10T13:20:56.228000+02:00,2026-09-10T13:20:23.582500+02:00,2026-09-10T13:20:19.482000+02:00,0.0,nan,0.16482877909505173,0.01728282630942144,0.17713312641473047,71.00506298341986
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,2026-09-10T13:19:51.438000,1,1,2.0,linear_drift_corrected,230.0,4.661150566508027,-24.606135751863214,38.734879607904084,64,A,1,1,1,5,2026-09-10T13:19:50.937000+02:00,2026-09-10T13:20:56.228000+02:00,2026-09-10T13:20:23.582500+02:00,2026-09-10T13:20:19.482000+02:00,0.0,nan,0.16482877909505173,0.01728282630942144,0.17713312641473047,71.00506298341986
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,2026-09-10T13:19:51.438000,1,1,2.0,linear_drift_corrected,235.0,4.835004502213925,-26.318995672198884,44.70222140826679,64,A,1,1,1,5,2026-09-10T13:19:50.937000+02:00,2026-09-10T13:20:56.228000+02:00,2026-09-10T13:20:23.582500+02:00,2026-09-10T13:20:19.482000+02:00,0.0,nan,0.16482877909505173,0.01728282630942144,0.17713312641473047,71.00506298341986
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,2026-09-10T13:19:51.438000,1,1,2.0,linear_drift_corrected,240.0,1.1952523042380012,-28.573669064368715,40.21744653194578,64,A,1,1,1,5,2026-09-10T13:19:50.937000+02:00,2026-09-10T13:20:56.228000+02:00,2026-09-10T13:20:23.582500+02:00,2026-09-10T13:20:19.482000+02:00,0.0,nan,0.16482877909505173,0.01728282630942144,0.17713312641473047,71.00506298341986
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,2026-09-10T13:19:51.438000,1,1,2.0,linear_drift_corrected,245.0,2.15596340279881,-26.708635391187205,44.21928039335959,64,A,1,1,1,5,2026-09-10T13:19:50.937000+02:00,2026-09-10T13:20:56.228000+02:00,2026-09-10T13:20:23.582500+02:00,2026-09-10T13:20:19.482000+02:00,0.0,nan,0.16482877909505173,0.01728282630942144,0.17713312641473047,71.00506298341986
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,2026-09-10T13:19:51.438000,1,1,2.0,linear_drift_corrected,250.0,1.5980476625963185,-26.554199666098455,47.980598328591824,64,A,1,1,1,5,2026-09-10T13:19:50.937000+02:00,2026-09-10T13:20:56.228000+02:00,2026-09-10T13:20:23.582500+02:00,2026-09-10T13:20:19.482000+02:00,0.0,nan,0.16482877909505173,0.01728282630942144,0.17713312641473047,71.00506298341986
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,2026-09-10T13:19:51.438000,1,1,2.0,linear_drift_corrected,255.0,-0.5543256790327107,-33.38440133408258,39.0026642137084,64,A,1,1,1,5,2026-09-10T13:19:50.937000+02:00,2026-09-10T13:20:56.228000+02:00,2026-09-10T13:20:23.582500+02:00,2026-09-10T13:20:19.482000+02:00,0.0,nan,0.16482877909505173,0.01728282630942144,0.17713312641473047,71.00506298341986
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,2026-09-10T13:19:51.438000,1,1,2.0,linear_drift_corrected,260.0,1.3102551139676675,-31.123476127984233,37.87827005702401,64,A,1,1,1,5,2026-09-10T13:19:50.937000+02:00,2026-09-10T13:20:56.228000+02:00,2026-09-10T13:20:23.582500+02:00,2026-09-10T13:20:19.482000+02:00,0.0,nan,0.16482877909505173,0.01728282630942144,0.17713312641473047,71.00506298341986
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,2026-09-10T13:19:51.438000,1,1,2.0,linear_drift_corrected,265.0,2.3249362178297854,-30.95355620266367,42.837014487209544,64,A,1,1,1,5,2026-09-10T13:19:50.937000+02:00,2026-09-10T13:20:56.228000+02:00,2026-09-10T13:20:23.582500+02:00,2026-09-10T13:20:19.482000+02:00,0.0,nan,0.16482877909505173,0.01728282630942144,0.17713312641473047,71.00506298341986
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,2026-09-10T13:19:51.438000,1,1,2.0,linear_drift_corrected,270.0,-4.052343682779253,-30.952943799294875,39.05792740452336,64,A,1,1,1,5,2026-09-10T13:19:50.937000+02:00,2026-09-10T13:20:56.228000+02:00,2026-09-10T13:20:23.582500+02:00,2026-09-10T13:20:19.482000+02:00,0.0,nan,0.16482877909505173,0.01728282630942144,0.17713312641473047,71.00506298341986
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,2026-09-10T13:19:51.438000,1,1,2.0,linear_drift_corrected,275.0,-2.272792777677607,-35.628776032389545,42.30277359926878,64,A,1,1,1,5,2026-09-10T13:19:50.937000+02:00,2026-09-10T13:20:56.228000+02:00,2026-09-10T13:20:23.582500+02:00,2026-09-10T13:20:19.482000+02:00,0.0,nan,0.16482877909505173,0.01728282630942144,0.17713312641473047,71.00506298341986
10-09-26/map-data-2026.09.10-13.19.51.438.jpk-force-map,2026-09-10T13:19:51.438000,1,1,2.0,linear_drift_corrected,280.0,-2.044540805903171,-29.040121502969498,39.06009600098894,64,A,1,1,1,5,2026-09-10T13:19:50.937000+02:00,2026-09-10T13:20:56.228000+02:00,2026-09-10T13:20:23.582500+02:00,2026-09-10T13:20:19.482000+02:00,0.0,nan,0.16482877909505173,0.01728282630942144,0.17713312641473047,71.00506298341986
