source,timestamp,block,nominal_speed_um_per_s,point_index,sensitivity_nm_per_V,sensitivity_40nm_nm_per_V,sensitivity_60nm_nm_per_V,contact_fit_R2,contact_points,valid_for_consensus,retained_for_global_consensus
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.18.11.440.jpk-force-map,2026-09-08T15:18:11.440000,1,1.0,22,79.73616946294362,79.66494934064889,79.5697923934171,0.9996873568302161,50,True,True
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.18.11.440.jpk-force-map,2026-09-08T15:18:11.440000,1,1.0,23,80.11019038159112,80.60551718305604,79.74559720209355,0.9997042855983206,51,True,True
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.18.11.440.jpk-force-map,2026-09-08T15:18:11.440000,1,1.0,24,80.13609442585998,80.73472161617556,79.95160383381544,0.9998652698351163,50,True,True
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.18.11.440.jpk-force-map,2026-09-08T15:18:11.440000,1,1.0,25,78.77806228327864,78.9725916381498,78.55227926820352,0.9998474997422728,50,True,True
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.18.11.440.jpk-force-map,2026-09-08T15:18:11.440000,1,1.0,26,79.43098336695395,79.19449000905071,79.14707910612616,0.9997931497671363,50,True,True
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.18.11.440.jpk-force-map,2026-09-08T15:18:11.440000,1,1.0,27,80.00724611154818,80.05882321398727,79.86370736330332,0.9997393885585322,51,True,True
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.18.11.440.jpk-force-map,2026-09-08T15:18:11.440000,1,1.0,28,80.36429086681717,80.55937602440665,80.08418270893358,0.9998834081557786,51,True,True
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.18.11.440.jpk-force-map,2026-09-08T15:18:11.440000,1,1.0,29,79.7391790631091,79.7081865263748,79.50661418555656,0.9999099804076068,51,True,True
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.18.11.440.jpk-force-map,2026-09-08T15:18:11.440000,1,1.0,30,79.41980274852394,79.25917165543616,79.23487356547074,0.9998144064816958,50,True,True
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.18.11.440.jpk-force-map,2026-09-08T15:18:11.440000,1,1.0,31,79.09941421460381,79.09089667462644,78.82969338209053,0.9998205258196439,51,True,True
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.18.11.440.jpk-force-map,2026-09-08T15:18:11.440000,1,1.0,32,79.7572503158445,79.40472804478114,79.31667384733139,0.9998726981147293,50,True,True
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.18.11.440.jpk-force-map,2026-09-08T15:18:11.440000,1,1.0,33,80.31491954467413,80.66373436918458,79.59174591211215,0.9994186983578159,50,True,True
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.18.11.440.jpk-force-map,2026-09-08T15:18:11.440000,1,1.0,34,81.44855158609533,81.35066052636884,81.18386173869511,0.9999203210007224,51,True,False
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.18.11.440.jpk-force-map,2026-09-08T15:18:11.440000,1,1.0,35,79.92866858665198,79.84475395999291,80.01115792312993,0.9998795358540103,51,True,True
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.18.11.440.jpk-force-map,2026-09-08T15:18:11.440000,1,1.0,36,79.32214344404827,79.63971441786788,79.31676424945576,0.9997634302644386,51,True,True
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.18.11.440.jpk-force-map,2026-09-08T15:18:11.440000,1,1.0,37,79.47997080746015,79.29721649646162,79.48032466752467,0.9998480285173474,50,True,True
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.18.11.440.jpk-force-map,2026-09-08T15:18:11.440000,1,1.0,38,79.17580682510572,78.82565369909193,79.14779356248515,0.999759083162539,51,True,True
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.18.11.440.jpk-force-map,2026-09-08T15:18:11.440000,1,1.0,39,79.21010068502825,79.88768019790236,79.35857210056888,0.9997478359974558,50,True,True
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.18.11.440.jpk-force-map,2026-09-08T15:18:11.440000,1,1.0,40,79.34287405092122,79.66332376343222,79.04345589481379,0.9997562670605736,50,True,True
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.18.11.440.jpk-force-map,2026-09-08T15:18:11.440000,1,1.0,41,79.41376410054772,79.68419009980104,79.18158905083023,0.9998258892530116,50,True,True
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.18.11.440.jpk-force-map,2026-09-08T15:18:11.440000,1,1.0,42,79.63133498336917,79.55434214913798,79.5739046681699,0.9999038871700807,50,True,True
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.18.11.440.jpk-force-map,2026-09-08T15:18:11.440000,1,1.0,43,79.25513458546081,79.42411411475946,79.4662059386984,0.9996971542402624,51,True,True
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.18.11.440.jpk-force-map,2026-09-08T15:18:11.440000,1,1.0,44,79.4930567557671,79.58439139359372,79.32742852375502,0.9999293678114506,51,True,True
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.18.11.440.jpk-force-map,2026-09-08T15:18:11.440000,1,1.0,45,79.9760630455978,79.94959619864963,79.59413272154426,0.9998647056935744,50,True,True
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.18.11.440.jpk-force-map,2026-09-08T15:18:11.440000,1,1.0,46,79.0536683260664,79.17142196519119,78.90771208121178,0.9997958369039117,50,True,True
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.18.11.440.jpk-force-map,2026-09-08T15:18:11.440000,1,1.0,47,78.75126882984401,78.96817907730663,78.88437851225837,0.9999088559086631,51,True,True
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.18.11.440.jpk-force-map,2026-09-08T15:18:11.440000,1,1.0,48,79.68506955725385,79.67584235440219,79.49868392283179,0.9998859337840427,51,True,True
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.18.11.440.jpk-force-map,2026-09-08T15:18:11.440000,1,1.0,49,79.32523771516568,78.96598040773475,79.32233965267874,0.9998197612365631,51,True,True
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.18.11.440.jpk-force-map,2026-09-08T15:18:11.440000,1,1.0,50,79.42285975004263,79.94655378638149,79.03200669120851,0.9998059274175483,50,True,True
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.18.11.440.jpk-force-map,2026-09-08T15:18:11.440000,1,1.0,51,78.63236900225868,78.58057710389798,78.95933514520117,0.9998313929414364,51,True,True
raw\keeper_6f30d59535114f89b568\08-09-26\map-data-2026.09.08-15.18.11.440.jpk-force-map,2026-09-08T15:18:11.440000,1,1.0,52,79.69638035861816,80.05698036522993,79.24020296994287,0.9998693197699698,51,True,True
