acquisition_order,block,nominal_speed_um_per_s,point_index,row,column,distance_nm,force_linear_drift_corrected_pN,force_far_constant_referenced_pN
2,1,1.0,8,1,7,200.0,64.2994524263031,65.804416653396
2,1,1.0,9,1,6,20.0,nan,nan
2,1,1.0,9,1,6,50.0,-0.11314578744690076,218.28234190462499
2,1,1.0,9,1,6,100.0,-120.50619756268786,82.21908762922519
2,1,1.0,9,1,6,200.0,-102.57206752886451,69.96905581215267
2,1,1.0,10,1,5,20.0,212.911743673213,344.01515839191507
2,1,1.0,10,1,5,50.0,26.75796286103734,153.43463550014272
2,1,1.0,10,1,5,100.0,-32.190038189228126,85.24206004068368
2,1,1.0,10,1,5,200.0,-41.51882765308919,59.14429902110156
2,1,1.0,11,1,4,20.0,nan,nan
2,1,1.0,11,1,4,50.0,296.42398772154183,213.61328160107269
2,1,1.0,11,1,4,100.0,179.27067553587736,102.24677093146546
2,1,1.0,11,1,4,200.0,158.5332329569794,92.84978352244383
2,1,1.0,12,1,3,20.0,-1740.6662246546339,-1594.5334819128047
2,1,1.0,12,1,3,50.0,26.735188266416117,168.07793955310763
2,1,1.0,12,1,3,100.0,-57.799423321692245,73.876963378243
2,1,1.0,12,1,3,200.0,-77.11696541835302,35.3951612647747
2,1,1.0,13,1,2,20.0,nan,nan
2,1,1.0,13,1,2,50.0,312.0095795869221,156.21733906861505
2,1,1.0,13,1,2,100.0,177.87965400734947,33.38489739472782
2,1,1.0,13,1,2,200.0,136.71071838614668,12.902617709056951
2,1,1.0,14,1,1,20.0,nan,nan
2,1,1.0,14,1,1,50.0,431.84898760762536,238.83620960787968
2,1,1.0,14,1,1,100.0,266.8070330421799,86.9112207259026
2,1,1.0,14,1,1,200.0,250.48812580543373,97.76665809592248
2,1,1.0,15,1,0,20.0,nan,nan
2,1,1.0,15,1,0,50.0,-130.07153128538866,95.02218053335162
2,1,1.0,15,1,0,100.0,-185.88759193787823,23.716025180251034
2,1,1.0,15,1,0,200.0,-126.16508087935311,51.89925490368018
2,1,1.0,16,2,0,20.0,nan,nan
2,1,1.0,16,2,0,50.0,236.1132532386852,181.92049296688933
2,1,1.0,16,2,0,100.0,49.42594628582618,-1.3831204093910994
2,1,1.0,16,2,0,200.0,59.64907790865829,16.169538138621427
2,1,1.0,17,2,1,20.0,-750.461032948445,-387.61700037615
2,1,1.0,17,2,1,50.0,-111.87985414572714,237.54001750554937
2,1,1.0,17,2,1,100.0,-224.54097113119616,99.93138496209055
2,1,1.0,17,2,1,200.0,-161.93650167390044,112.79178569562364
2,1,1.0,18,2,2,20.0,21.577004845388554,-66.73543503536955
2,1,1.0,18,2,2,50.0,232.89010182079207,147.76808222685864
2,1,1.0,18,2,2,100.0,114.11428672979898,34.70547182708582
2,1,1.0,18,2,2,200.0,112.13512925328041,44.263407557869066
2,1,1.0,19,2,3,20.0,-1796.6029393361948,-1383.9111202484196
2,1,1.0,19,2,3,50.0,-202.6661574174592,195.84486125790988
2,1,1.0,19,2,3,100.0,-292.10285424942737,80.22809265938656
2,1,1.0,19,2,3,200.0,-228.49024056675825,88.52930947175368
2,1,1.0,20,2,4,20.0,-13.628293841422543,-301.04931483218246
2,1,1.0,20,2,4,50.0,521.7251071624371,245.3367508142223
2,1,1.0,20,2,4,100.0,361.64839518448497,104.93892937665575
