before_map,after_map,distance_nm,baseline,before_speed_um_per_s,after_speed_um_per_s,idle_s,paired_pixels,median_paired_change_pN,q25_change_pN,q75_change_pN,positive_pixel_fraction,fixed_pixel_change_pN
20,21,20.0,line,1.0,4.0,12.431,64,57.7531934731162,-30.446969038941063,153.3552107333294,0.671875,237.8304122842469
20,21,50.0,line,1.0,4.0,12.431,64,27.269793732508944,-27.73594934882805,112.70742911679643,0.625,93.29444966228775
20,21,100.0,line,1.0,4.0,12.431,64,20.588260981548927,-41.45203259522355,93.13437757033432,0.609375,106.3508997928291
20,21,200.0,line,1.0,4.0,12.431,64,15.814852740946552,-34.01007069828711,79.40391583924746,0.59375,76.41763472260111
20,21,20.0,constant,1.0,4.0,12.431,64,31.29942869088245,-39.31168994882904,84.51978807757268,0.609375,33.58924751112045
20,21,50.0,constant,1.0,4.0,12.431,64,4.597597003772265,-28.521698244711807,27.859493492347234,0.53125,-101.43697825173797
20,21,100.0,constant,1.0,4.0,12.431,64,-9.780120492670882,-33.8848910576008,13.997811485887528,0.4375,-75.85910338423486
20,21,200.0,constant,1.0,4.0,12.431,64,-7.579069567057125,-37.483171093806575,12.186519277081747,0.46875,-80.14764967795533
21,22,20.0,line,4.0,4.0,16.164,64,-12.091876479307643,-99.59931835359691,55.97172415371074,0.453125,-110.42008814314227
21,22,50.0,line,4.0,4.0,16.164,64,-7.767016921076717,-35.82018055955806,39.68822406123925,0.453125,-34.4962038316512
21,22,100.0,line,4.0,4.0,16.164,64,4.571023058916847,-24.66320619471127,28.050300532133562,0.546875,-45.153587153412175
21,22,200.0,line,4.0,4.0,16.164,64,-1.5471699609139264,-30.32149277357725,27.842067264384852,0.484375,-38.35772704141234
21,22,20.0,constant,4.0,4.0,16.164,64,-15.657384490182551,-96.95948449000753,53.25172591355812,0.4375,-97.07060805040146
21,22,50.0,constant,4.0,4.0,16.164,64,-0.7152254073721309,-21.84503991410252,15.962631307313934,0.484375,-21.925389357182297
21,22,100.0,constant,4.0,4.0,16.164,64,-0.5925966298668044,-16.007280279952205,16.91402545997362,0.484375,-33.31212455803973
21,22,200.0,constant,4.0,4.0,16.164,64,-0.7023794739036404,-19.681575815664996,10.268016528878555,0.484375,-28.576464948929654
22,23,20.0,line,4.0,1.0,22.999,64,-53.9951361280111,-137.20339225085058,21.79817358547041,0.296875,-120.7377518275166
22,23,50.0,line,4.0,1.0,22.999,64,-40.46118744061557,-117.48627481081868,32.99754877831445,0.34375,-116.59959759920916
22,23,100.0,line,4.0,1.0,22.999,64,-26.09501381626027,-95.82908912431323,29.430212410651627,0.390625,-100.55846851147035
22,23,200.0,line,4.0,1.0,22.999,64,-20.468806223408322,-81.46639427374987,36.976826261743426,0.40625,-84.42777266359907
22,23,20.0,constant,4.0,1.0,22.999,64,-20.35141953332038,-109.61698495158214,33.14674875435543,0.453125,3.2488987073634235
22,23,50.0,constant,4.0,1.0,22.999,64,-14.925571615320749,-32.81345602179941,0.14584187815405159,0.25,1.7495413077506896
22,23,100.0,constant,4.0,1.0,22.999,64,-0.768230472656235,-19.574864147469967,12.471608579679966,0.5,9.310059101958402
22,23,200.0,constant,4.0,1.0,22.999,64,-2.007613616779196,-16.243121641012095,13.740503073387217,0.484375,9.276759449180133
23,24,20.0,line,1.0,2.0,17.398,64,-9.108132239238785,-99.51916239792075,103.18506954215155,0.484375,104.10110404177908
23,24,50.0,line,1.0,2.0,17.398,64,13.526196729451812,-56.96707988000618,73.10782864136768,0.5625,111.41360393331594
23,24,100.0,line,1.0,2.0,17.398,64,13.980543986903893,-53.14136026328229,68.2976814812844,0.546875,108.20667253827108
23,24,200.0,line,1.0,2.0,17.398,64,13.038065793557607,-47.03063197474833,66.03809643129566,0.546875,93.60465642479357
23,24,20.0,constant,1.0,2.0,17.398,64,-5.552810639077393,-38.95056955699988,45.431545658362495,0.46875,-29.434772853115874
23,24,50.0,constant,1.0,2.0,17.398,64,5.897748896271466,-8.964029564008676,24.96142595825782,0.625,-15.971486271160387
23,24,100.0,constant,1.0,2.0,17.398,64,0.2790248995417173,-11.379283312267656,15.367774167309875,0.515625,-9.979294820334758
23,24,200.0,constant,1.0,2.0,17.398,64,1.13783167493159,-7.995393175407056,17.21136828648666,0.515625,-6.804353768765608
24,25,20.0,line,2.0,1.0,16.721,64,56.21401093088264,-139.80829791803285,326.63340328322204,0.609375,922.8515558516983
24,25,50.0,line,2.0,1.0,16.721,64,36.81200679418363,-95.51251174337568,262.89328932280773,0.546875,842.8514623573614
24,25,100.0,line,2.0,1.0,16.721,64,42.00460837134487,-77.0488907717607,222.24917390119697,0.59375,747.8024271757638
