speed_um_per_s,candidate_start_nm,candidate_stop_nm,candidate_start_time_s,candidate_stop_time_s,training_blocks,validation_blocks,training_map_median_score_V,validation_map_median_score_V,training_map_median_drift_V,validation_map_median_drift_V,training_map_median_pre_guard_mismatch_V,validation_map_median_pre_guard_mismatch_V,training_map_median_post_guard_mismatch_V,validation_map_median_post_guard_mismatch_V,training_map_median_roughness_V,validation_map_median_roughness_V,selected_from_training,within_1pct_contiguous_training_minimum,fixed_100_220nm_reference
0.3,50.0,170.0,0.16666666666666666,0.5666666666666667,1+3,2+4,0.005487552741282362,0.004991073236521315,0.002487698909942923,0.002304800392952333,0.0017445544252076839,0.001847372810451678,0.002193414967711249,0.0022716342260152567,0.0023530005957099476,0.0024130887657940747,False,False,False
0.3,55.0,175.0,0.18333333333333332,0.5833333333333334,1+3,2+4,0.005477852421363429,0.005139541597066987,0.0025594379624126196,0.0022303296491865132,0.0017279602175191144,0.0017180259413462212,0.002384918416573484,0.0022767830017580704,0.002358804657542457,0.0024018602561399205,False,False,False
0.3,60.0,180.0,0.2,0.6,1+3,2+4,0.005344694811612823,0.00532715156889791,0.002302789690170781,0.0022857998774055144,0.0018213824607371254,0.0018110355455250998,0.0022178632224153783,0.0023759738483568604,0.002360099238655544,0.002403282070520235,False,False,False
0.3,65.0,185.0,0.21666666666666667,0.6166666666666667,1+3,2+4,0.005503777590100671,0.005224782497855948,0.002422905542392245,0.002398270609369396,0.001957346155005313,0.0017226369305738953,0.002163968114234971,0.002402266290173344,0.0023981232134533126,0.002384841589928577,False,False,False
0.3,70.0,190.0,0.23333333333333334,0.6333333333333333,1+3,2+4,0.005458933946939623,0.0053920182867747135,0.0026678546114173862,0.0025496656826947683,0.0020853334358365005,0.0018494433059161042,0.0020391741798336804,0.0024485242736295015,0.0023563573291224826,0.0023922969031806574,False,False,False
0.3,75.0,195.0,0.25,0.65,1+3,2+4,0.00553484075799255,0.005620255648536389,0.0027873794894462955,0.002652732972363292,0.0019342863420208634,0.0018203649422306178,0.002183494249181267,0.0023021184130149197,0.0022963588480628405,0.0023854701083637075,False,False,False
0.3,80.0,200.0,0.26666666666666666,0.6666666666666666,1+3,2+4,0.005664548990435232,0.005720196684727608,0.0025171961700410916,0.002926947431023924,0.0020992060335532636,0.0017819224186520488,0.002289351979933102,0.002334486069528338,0.002324166617234752,0.002385178792850051,False,False,False
0.3,85.0,205.0,0.2833333333333333,0.6833333333333333,1+3,2+4,0.00545723854627117,0.0058251135498020475,0.0026765930339304467,0.0025984599883316223,0.0021451977309913106,0.0020626733995116053,0.0026084137318899414,0.002490866183981852,0.0023110268275162715,0.002406762560881237,False,False,False
0.3,90.0,210.0,0.3,0.7,1+3,2+4,0.005744888629378171,0.006042393902406278,0.0026880506329921006,0.0028191937160103042,0.0022392662218700538,0.0020515714278611374,0.002978006905976771,0.002695489607545884,0.002310865526324979,0.002382456835246613,False,False,False
0.3,95.0,215.0,0.31666666666666665,0.7166666666666667,1+3,2+4,0.005878482343319488,0.006124289715450735,0.002799093293201993,0.0028726337740625635,0.001878243564099269,0.0019843383797918668,0.003045452357123335,0.002655664551988901,0.002331576738342722,0.002411109349881674,False,False,False
0.3,100.0,220.0,0.3333333333333333,0.7333333333333333,1+3,2+4,0.0062968261952425705,0.006036974669062632,0.0029811053489040007,0.0029352363655189284,0.002109506713725756,0.0023517894462474764,0.003050439136411065,0.002686145610301588,0.0023194172705196525,0.002399727186937553,False,False,True
0.3,105.0,225.0,0.35,0.75,1+3,2+4,0.006453839521161672,0.0063099612919308296,0.003022885138509762,0.003057677875003051,0.0023845433217773715,0.0024327125852979387,0.0031448976702568576,0.0028110699066571654,0.0023258922618762945,0.0024117469067456293,False,False,False
0.3,110.0,230.0,0.36666666666666664,0.7666666666666667,1+3,2+4,0.0067556907141103975,0.00642423067123072,0.003148693462730834,0.0031216379689427143,0.002248670707061251,0.0021787289113998493,0.0032147424766238997,0.0030409258424420743,0.0023620126045109657,0.002402074397376691,False,False,False
0.3,115.0,235.0,0.38333333333333336,0.7833333333333333,1+3,2+4,0.006976573228232773,0.006516172871728704,0.003443594103913844,0.003289050181039199,0.0023708292441968204,0.0020847010934507554,0.003487473937693941,0.003033584552445956,0.0023926806887736296,0.002396113205935524,False,False,False
0.3,120.0,240.0,0.4,0.8,1+3,2+4,0.007369687522806187,0.006725577797956468,0.0035169044524715753,0.0032602186359871055,0.0022838872068134952,0.002213256057138485,0.003865760342149971,0.003317949166675674,0.002350839715957398,0.0024065053132915903,False,False,False
0.3,125.0,245.0,0.4166666666666667,0.8166666666666667,1+3,2+4,0.00763387662574181,0.006923293776107977,0.003456286491405891,0.0033986473879011048,0.0022474623386538883,0.002323760235569558,0.004026054443916044,0.003477565386279996,0.0023477242390681496,0.0023923518290173695,False,False,False
0.3,130.0,250.0,0.43333333333333335,0.8333333333333334,1+3,2+4,0.008273396566908328,0.006917825005221798,0.0041515172220504964,0.0035640005763852844,0.002255163080011696,0.0019449176201089408,0.003972871285821522,0.0036899396101922888,0.0022949307763087123,0.0023993510492457126,False,False,False
