speed_um_per_s,scanner_travel_bin_center_nm,curve_count,endpoint_delta_V_q25,endpoint_delta_V_median,endpoint_delta_V_q75,dynamic_baseline_delta_V_q25,dynamic_baseline_delta_V_median,dynamic_baseline_delta_V_q75,dynamic_baseline_delta_nN_prior_D3_scale_median
0.3,67.5,512,0.0023292330042222337,0.015857926152327423,0.03065987528358212,-0.00267926771359861,-0.0008546348948036409,0.0010008168804889611,-0.01865289898994254
0.3,72.5,512,0.002453249286113124,0.016629649453739542,0.031081829466372474,-0.0024919129035659987,-0.0007492009273106504,0.001136425294977983,-0.016351741902029003
0.3,77.5,512,0.002690588693332205,0.01647743675023755,0.03108676722956527,-0.0021120458169613388,-0.0004153032897039888,0.0014988134507650797,-0.009064233581076971
0.3,82.5,512,0.0028682077249939375,0.016181283591398365,0.03187111165393425,-0.0023138273499240802,-0.0004684840143751312,0.001520711478013692,-0.01022493353790553
0.3,87.5,512,0.002998335375297062,0.016940917646627085,0.031868311826790396,-0.0021098119345143718,-0.0002173547458260705,0.0015973524875927958,-0.004743892559886447
0.3,92.5,512,0.003126854880533325,0.017188402342568826,0.0313216516604633,-0.0020451426715441257,-0.00010487358490562926,0.001579984103712323,-0.002288926415071452
0.3,97.5,512,0.003081292160832777,0.0169853032847892,0.03211893424806139,-0.001939306146336861,-0.00016612354072556568,0.0017347331293950802,-0.003625741990932315
0.3,102.5,512,0.0030196083604293877,0.01832942054991679,0.0321765855186819,-0.0016971464754996501,-0.0001248749326289711,0.0016688700985563465,-0.0027254673532131498
0.3,107.5,512,0.0033965386529304364,0.01733085076188623,0.03210435317657748,-0.0014299364515453217,2.1932790436274274e-05,0.002041429963088759,0.00047869578818145273
0.3,112.5,512,0.0033686307657773834,0.017486694132720304,0.03157857595241596,-0.0015209471724270118,0.00018692861335023458,0.002023045103597576,0.004079824688123765
0.3,117.5,512,0.003525678333436283,0.017684812320954424,0.03175404800959991,-0.0013131724658901334,0.0004875342412806738,0.002057961249407547,0.010640715716196078
0.3,122.5,512,0.003537596544736177,0.017926652865727838,0.031142542678573054,-0.0011694558854825066,0.0005264690115984183,0.002383403089218361,0.01149048951123912
0.3,127.5,512,0.0045495682369212365,0.018309818283589407,0.03268486156358541,-0.0008895830227463875,0.001037169441218011,0.00290865677977159,0.022636820635482773
0.3,132.5,512,0.004252360362964724,0.017653136104246014,0.03216114092961331,-0.0010638272441381158,0.0006230717388666929,0.0025632872901960313,0.013598899692995272
0.3,137.5,512,0.00453292848945655,0.01762630170433202,0.032600567785847745,-0.0008702067171395406,0.0008768277138847813,0.002591852896861424,0.019137270053117644
0.3,142.5,512,0.0035812104401292677,0.01775879811825054,0.03250465197916999,-0.0010018868914089818,0.0008217781202380925,0.0027914422632027147,0.01793578095412059
