acquisition_order,block,position_in_block,speed_um_per_s,elapsed_midpoint_min,scanner_travel_bin_center_nm,finite_pixel_count,map_median_corrected_V,map_median_corrected_nN_prior_D3_scale
3,1,3,0.9,6.086941666666666,382.5,64,0.0808582222734491,1.7647772888088056
3,1,3,0.9,6.086941666666666,387.5,64,0.09029252454598859,1.9706863716232823
3,1,3,0.9,6.086941666666666,392.5,64,0.10002419946999452,2.183085783891776
3,1,3,0.9,6.086941666666666,397.5,64,0.10915783493139315,2.3824326403193616
3,1,3,0.9,6.086941666666666,402.5,64,0.11864967167024212,2.589597446010398
3,1,3,0.9,6.086941666666666,407.5,64,0.13457547781356344,2.9371873409830704
3,1,3,0.9,6.086941666666666,412.5,64,0.15116921411326745,3.299355196456883
3,1,3,0.9,6.086941666666666,417.5,64,0.17231190959884252,3.76080670711414
3,1,3,0.9,6.086941666666666,422.5,64,0.1996855338332657,4.358251827759082
3,1,3,0.9,6.086941666666666,427.5,64,0.22781297276528237,4.97214938850077
3,1,3,0.9,6.086941666666666,432.5,64,0.26056654794110484,5.687015038182061
3,1,3,0.9,6.086941666666666,437.5,64,0.31327523301932697,6.837412458922364
3,1,3,0.9,6.086941666666666,442.5,64,0.35673995679287274,7.786055098139638
3,1,3,0.9,6.086941666666666,447.5,64,0.4183103624587047,9.129864676519208
3,1,3,0.9,6.086941666666666,452.5,64,0.49212515268156837,10.740915002643815
3,1,3,0.9,6.086941666666666,457.5,64,0.5793815327139626,12.645335770937205
3,1,3,0.9,6.086941666666666,462.5,64,0.6726963201373997,14.68198477118338
3,1,3,0.9,6.086941666666666,467.5,63,0.7523230592646677,16.419884230789098
3,1,3,0.9,6.086941666666666,472.5,62,0.8469467418913701,18.48510062298636
3,1,3,0.9,6.086941666666666,477.5,58,0.9366657183358086,20.443268976834876
3,1,3,0.9,6.086941666666666,482.5,58,1.0312250473492859,22.507080814345187
3,1,3,0.9,6.086941666666666,487.5,56,1.124041186045044,24.532846518805748
4,1,4,2.7,7.334133333333333,2.5,64,-0.8532975452359164,-18.623710565092722
4,1,4,2.7,7.334133333333333,7.5,64,-0.7287956619371788,-15.906385228449947
4,1,4,2.7,7.334133333333333,12.5,64,-0.6275675159373104,-13.697022617871626
4,1,4,2.7,7.334133333333333,17.5,64,-0.5422702348198494,-11.8353603121612
4,1,4,2.7,7.334133333333333,22.5,64,-0.47230091366642657,-10.30823956410245
4,1,4,2.7,7.334133333333333,27.5,64,-0.4075413122954089,-8.89482395195374
4,1,4,2.7,7.334133333333333,32.5,64,-0.35241208730972323,-7.691596853102276
4,1,4,2.7,7.334133333333333,37.5,64,-0.3081132695137714,-6.724749631270071
4,1,4,2.7,7.334133333333333,42.5,64,-0.2678977885949338,-5.84702358945734
4,1,4,2.7,7.334133333333333,47.5,64,-0.22966176252326814,-5.012500290177061
4,1,4,2.7,7.334133333333333,52.5,64,-0.20136381571728265,-4.394881296845306
4,1,4,2.7,7.334133333333333,57.5,64,-0.17809546254093764,-3.8870360823570866
4,1,4,2.7,7.334133333333333,62.5,64,-0.1567888141280822,-3.422006204597971
4,1,4,2.7,7.334133333333333,67.5,64,-0.137876609592885,-3.009236444063892
4,1,4,2.7,7.334133333333333,72.5,64,-0.12001406560754029,-2.6193761298081846
4,1,4,2.7,7.334133333333333,77.5,64,-0.10536587753217157,-2.299670985287599
4,1,4,2.7,7.334133333333333,82.5,64,-0.09128370368029642,-1.9923194273124378
4,1,4,2.7,7.334133333333333,87.5,64,-0.08008483033902337,-1.7478975642384744
4,1,4,2.7,7.334133333333333,92.5,64,-0.07121091760619407,-1.5542193060051028
