scanner_travel_bin_center_nm,finite_map_count,global_rho_speed,global_rho_elapsed_time,same_speed_0.1_rho_time,same_speed_0.3_rho_time,same_speed_0.9_rho_time,same_speed_2.7_rho_time,same_speed_rho_time_median,same_speed_rho_time_min,same_speed_rho_time_max,block_1_pair_mean_rho_speed,block_1_pair_mean_2p7_minus_0p1_V,block_2_pair_mean_rho_speed,block_2_pair_mean_2p7_minus_0p1_V,block_3_pair_mean_rho_speed,block_3_pair_mean_2p7_minus_0p1_V,block_4_pair_mean_rho_speed,block_4_pair_mean_2p7_minus_0p1_V,block_pair_mean_rho_speed_median,block_pair_mean_rho_speed_min,block_pair_mean_rho_speed_max,block_pair_mean_2p7_minus_0p1_V_median,block_pair_mean_2p7_minus_0p1_V_min,block_pair_mean_2p7_minus_0p1_V_max
247.5,32,0.8082748817435056,-0.16752199413489735,0.2380952380952381,-0.7619047619047621,-0.6666666666666669,-0.5476190476190477,-0.6071428571428572,-0.7619047619047621,0.2380952380952381,0.7999999999999999,0.009006646926952439,0.7999999999999999,0.008889987230860388,0.7999999999999999,0.007550341206945329,0.7999999999999999,0.007666618507971849,0.7999999999999999,0.7999999999999999,0.7999999999999999,0.008278302869416118,0.007550341206945329,0.009006646926952439
252.5,32,0.8143293752397116,-0.15872434017595305,0.07142857142857144,-0.14285714285714288,-0.7142857142857144,-0.6904761904761906,-0.41666666666666674,-0.7142857142857144,0.07142857142857144,0.7999999999999999,0.010597945753024585,0.7999999999999999,0.009833862009759761,0.7999999999999999,0.00848035798866676,0.7999999999999999,0.009002382179075067,0.7999999999999999,0.7999999999999999,0.7999999999999999,0.009418122094417414,0.00848035798866676,0.010597945753024585
257.5,32,0.8657925699574629,-0.2232404692082111,0.2380952380952381,-0.2142857142857143,-0.9047619047619048,-0.9761904761904763,-0.5595238095238095,-0.9761904761904763,0.2380952380952381,1.0,0.012308340479388544,0.7999999999999999,0.011935605408389574,1.0,0.010319071289041363,0.7999999999999999,0.010385395975013947,0.8999999999999999,0.7999999999999999,1.0,0.01116050069170176,0.010319071289041363,0.012308340479388544
262.5,32,0.89303779069039,-0.2254398826979472,0.023809523809523815,-0.19047619047619052,-0.9523809523809524,-0.7142857142857144,-0.45238095238095244,-0.9523809523809524,0.023809523809523815,1.0,0.013783322374400352,0.7999999999999999,0.013141551516824834,1.0,0.012167270768098606,1.0,0.011946043403153535,1.0,0.7999999999999999,1.0,0.01265441114246172,0.011946043403153535,0.013783322374400352
267.5,32,0.9142285179271114,-0.252199413489736,0.2142857142857143,-0.6428571428571429,-0.9761904761904763,-0.9523809523809524,-0.7976190476190477,-0.9761904761904763,0.2142857142857143,1.0,0.015780840869208432,1.0,0.0158914635901099,1.0,0.014038689970804104,1.0,0.012662162290441915,1.0,1.0,1.0,0.014909765420006268,0.012662162290441915,0.0158914635901099
272.5,32,0.9384464919119354,-0.2034457478005865,0.023809523809523815,-0.4761904761904762,-0.9047619047619048,-0.8095238095238096,-0.6428571428571429,-0.9047619047619048,0.023809523809523815,1.0,0.017051216374618178,1.0,0.01748429338697205,1.0,0.014895715182399644,1.0,0.014212332093783447,1.0,1.0,1.0,0.01597346577850891,0.014212332093783447,0.01748429338697205
277.5,32,0.9566099724005535,-0.17045454545454544,0.1666666666666667,-0.4523809523809524,-0.9047619047619048,-0.9761904761904763,-0.6785714285714286,-0.9761904761904763,0.1666666666666667,1.0,0.019502566200150645,1.0,0.01855391495924978,1.0,0.017165511478677033,1.0,0.015249487629726471,1.0,1.0,1.0,0.01785971321896341,0.015249487629726471,0.019502566200150645
282.5,32,0.9656917126448623,-0.14846041055718476,0.1666666666666667,-0.6190476190476191,-0.8571428571428572,-0.9761904761904763,-0.7380952380952381,-0.9761904761904763,0.1666666666666667,1.0,0.020948860122075932,1.0,0.02026657555019358,1.0,0.018120947103305626,1.0,0.01731180331603581,1.0,1.0,1.0,0.019193761326749603,0.01731180331603581,0.020948860122075932
287.5,32,0.9687189593929655,-0.14589442815249265,-0.07142857142857144,-0.5714285714285715,-0.7619047619047621,-0.9761904761904763,-0.6666666666666667,-0.9761904761904763,-0.07142857142857144,1.0,0.023567776160627017,1.0,0.02288569530102512,1.0,0.020225183717763363,1.0,0.01898790415765122,1.0,1.0,1.0,0.02155543950939424,0.01898790415765122,0.023567776160627017
292.5,32,0.9687189593929655,-0.14479472140762462,0.2380952380952381,-0.7857142857142858,-0.7619047619047621,-0.9285714285714287,-0.773809523809524,-0.9285714285714287,0.2380952380952381,1.0,0.02603467416952758,1.0,0.02506927611054377,1.0,0.023144732499531355,1.0,0.021367841357047203,1.0,1.0,1.0,0.024107004305037563,0.021367841357047203,0.02603467416952758
