scanner_travel_bin_center_nm,block,speed_um_per_s,early_order,late_order,early_position_in_block,late_position_in_block,early_map_median_corrected_V,late_map_median_corrected_V,later_minus_earlier_V,palindrome_pair_mean_corrected_V
42.5,1,0.1,1,8,1,8,-0.0007794991312555788,0.0003664318097900132,0.001145930941045592,-0.0002065336607327828
42.5,1,0.3,2,7,2,7,-0.001539063660108475,-0.0010345858411020536,0.0005044778190064214,-0.0012868247506052644
42.5,1,0.9,3,6,3,6,-0.010236724249819557,-0.011228965747146075,-0.0009922414973265181,-0.010732844998482816
42.5,1,2.7,4,5,4,5,-0.2678977885949338,-0.26532864301233255,0.00256914558260124,-0.2666132158036332
42.5,2,0.1,12,13,4,5,-0.00018182398685617773,0.00020156808698978956,0.0003833920738459673,9.872050066805915e-06
42.5,2,0.3,9,16,1,8,-0.0010435936783205202,-0.0014459289084534088,-0.00040233523013288863,-0.0012447612933869645
42.5,2,0.9,10,15,2,7,-0.00930079494512015,-0.006038650776161614,0.003262144168958536,-0.007669722860640882
42.5,2,2.7,11,14,3,6,-0.23738959552860822,-0.2159671342509153,0.021422461277692928,-0.22667836488976176
42.5,3,0.1,19,22,3,6,-0.0005503791321559426,-0.0005004133070907694,4.9965825065173206e-05,-0.000525396219623356
42.5,3,0.3,20,21,4,5,-0.0012899895912210635,-0.00126833212523203,2.1657465989033398e-05,-0.0012791608582265468
42.5,3,0.9,17,24,1,8,-0.0077886032291683005,-0.00886827275324329,-0.0010796695240749901,-0.008328437991205796
42.5,3,2.7,18,23,2,7,-0.2096757537090389,-0.20699376959994686,0.0026819841090920393,-0.20833476165449288
42.5,4,0.1,26,31,2,7,-0.0004394525809933436,-0.0001845535923609143,0.0002548989886324293,-0.00031200308667712895
42.5,4,0.3,27,30,3,6,-0.0016349377509607965,-0.0015808364970767985,5.4101253883998e-05,-0.0016078871240187975
42.5,4,0.9,28,29,4,5,-0.007476756576836316,-0.006697766378649911,0.000778990198186405,-0.007087261477743113
42.5,4,2.7,25,32,1,8,-0.20563084962181072,-0.19735161961817643,0.008279230003634286,-0.20149123461999358
47.5,1,0.1,1,8,1,8,-0.0002229836011919395,7.23157737550495e-05,0.000295299374946989,-7.5333913718445e-05
47.5,1,0.3,2,7,2,7,-0.000816978019268888,-0.001427192940765598,-0.0006102149214967101,-0.001122085480017243
47.5,1,0.9,3,6,3,6,-0.008259363537079706,-0.009493199455810092,-0.001233835918730386,-0.008876281496444899
47.5,1,2.7,4,5,4,5,-0.22966176252326814,-0.22940763388687696,0.0002541286363911821,-0.22953469820507255
47.5,2,0.1,12,13,4,5,9.466294139004461e-05,-0.00010969454378750854,-0.00020435748517755314,-7.515801198731964e-06
47.5,2,0.3,9,16,1,8,-0.0010662314662052697,-0.0014966998489476246,-0.000430468382742355,-0.0012814656575764471
47.5,2,0.9,10,15,2,7,-0.0060753718266812196,-0.005398717500692318,0.0006766543259889013,-0.005737044663686769
47.5,2,2.7,11,14,3,6,-0.20439893541210113,-0.18630422200082442,0.01809471341127672,-0.19535157870646278
47.5,3,0.1,19,22,3,6,-0.0003188771594293538,-0.00047345932181083045,-0.00015458216238147665,-0.0003961682406200921
47.5,3,0.3,20,21,4,5,-0.0007213403180934552,-0.0013256315923921846,-0.0006042912742987294,-0.00102348595524282
47.5,3,0.9,17,24,1,8,-0.006157513067831744,-0.0059654603606019395,0.00019205270722980408,-0.0060614867142168415
47.5,3,2.7,18,23,2,7,-0.1787790792381757,-0.1748279856989731,0.003951093539202616,-0.1768035324685744
47.5,4,0.1,26,31,2,7,-0.00036779730780611697,-0.000626364508013455,-0.00025856720020733803,-0.000497080907909786
47.5,4,0.3,27,30,3,6,-0.0008911167745913329,-0.0012510742882885229,-0.00035995751369719,-0.0010710955314399279
47.5,4,0.9,28,29,4,5,-0.0055796585025788825,-0.006362407296628458,-0.0007827487940495759,-0.0059710328996036705
47.5,4,2.7,25,32,1,8,-0.17589831783080934,-0.16817745693041125,0.0077208609003980855,-0.1720378873806103
52.5,1,0.1,1,8,1,8,-0.00041879629481228475,-6.137510329579099e-05,0.00035742119151649376,-0.00024008569905403787
52.5,1,0.3,2,7,2,7,-0.0003517714782378667,-0.0010372848550015412,-0.0006855133767636745,-0.000694528166619704
52.5,1,0.9,3,6,3,6,-0.006696544104967422,-0.007753215694532134,-0.0010566715895647116,-0.007224879899749778
52.5,1,2.7,4,5,4,5,-0.20136381571728265,-0.20026946500374299,0.0010943507135396657,-0.20081664036051283
52.5,2,0.1,12,13,4,5,0.00046603668595524006,0.00018181564369113,-0.00028422104226411005,0.00032392616482318504
52.5,2,0.3,9,16,1,8,-0.00041727922929746253,-0.0012723410160473403,-0.0008550617867498778,-0.0008448101226724014
52.5,2,0.9,10,15,2,7,-0.005529999984093648,-0.005352450478807391,0.00017754950528625635,-0.005441225231450519
52.5,2,2.7,11,14,3,6,-0.17795641813296814,-0.15928203829909138,0.018674379833876764,-0.16861922821602976
52.5,3,0.1,19,22,3,6,-5.61022229728092e-05,-0.0006194549768096282,-0.000563352753836819,-0.0003377785998912187
52.5,3,0.3,20,21,4,5,-0.0015507287954010796,-0.002164107166986229,-0.0006133783715851493,-0.0018574179811936542
52.5,3,0.9,17,24,1,8,-0.0055954340371948685,-0.00597119489605873,-0.00037576085886386126,-0.005783314466626799
52.5,3,2.7,18,23,2,7,-0.15561623372728162,-0.1535426290433715,0.0020736046839101296,-0.15457943138532654
52.5,4,0.1,26,31,2,7,0.00012928290483993354,-0.0003708898409914285,-0.0005001727458313621,-0.00012080346807574749
52.5,4,0.3,27,30,3,6,-0.0013428741335325955,-0.0006487978883540912,0.0006940762451785043,-0.0009958360109433434
52.5,4,0.9,28,29,4,5,-0.004963679844547625,-0.005680357723895552,-0.0007166778793479267,-0.005322018784221588
52.5,4,2.7,25,32,1,8,-0.15405643452092405,-0.146525721305065,0.007530713215859047,-0.1502910779129945
57.5,1,0.1,1,8,1,8,-0.000422953972071205,4.9778103851150224e-05,0.0004727320759223552,-0.0001865879341100274
57.5,1,0.3,2,7,2,7,-0.0003743731124072891,-0.0012711312571122013,-0.0008967581447049122,-0.0008227521847597452
57.5,1,0.9,3,6,3,6,-0.0060625692398843245,-0.005956640244597494,0.00010592899528683031,-0.006009604742240909
57.5,1,2.7,4,5,4,5,-0.17809546254093764,-0.176028665879723,0.0020667966612146482,-0.17706206421033033
57.5,2,0.1,12,13,4,5,0.000301940534341294,-2.2415303482237192e-06,-0.0003041820646895177,0.00014984950199653513
57.5,2,0.3,9,16,1,8,-0.0011436310085418122,-0.001340169557523252,-0.00019653854898143974,-0.001241900283032532
57.5,2,0.9,10,15,2,7,-0.005283499781629841,-0.004984420952906743,0.0002990788287230983,-0.005133960367268292
57.5,2,2.7,11,14,3,6,-0.15517567845797198,-0.13985177188162934,0.015323906576342639,-0.14751372516980066
57.5,3,0.1,19,22,3,6,-0.0001496513518262077,0.00022990008503344025,0.00037955143685964796,4.0124366603616277e-05
57.5,3,0.3,20,21,4,5,-0.0005100482722171229,-0.0008912488747048197,-0.0003812006024876968,-0.0007006485734609713
57.5,3,0.9,17,24,1,8,-0.005022949689191369,-0.005355355290778605,-0.0003324056015872358,-0.005189152489984987
57.5,3,2.7,18,23,2,7,-0.13692953381965456,-0.1331795620081105,0.003749971811544045,-0.13505454791388255
57.5,4,0.1,26,31,2,7,-4.0511628515566e-05,-0.00032681429046427235,-0.00028630266194870635,-0.00018366295948991918
57.5,4,0.3,27,30,3,6,-0.0005452453045841077,-0.0017331701764723428,-0.0011879248718882351,-0.0011392077405282253
57.5,4,0.9,28,29,4,5,-0.0051920044619106764,-0.004705691103784979,0.00048631335812569787,-0.0049488477828478275
57.5,4,2.7,25,32,1,8,-0.1338391128457098,-0.12683571964428608,0.007003393201423708,-0.13033741624499795
62.5,1,0.1,1,8,1,8,-0.0008233563689634127,-0.0002940075748890658,0.0005293487940743469,-0.0005586819719262393
62.5,1,0.3,2,7,2,7,-0.0009353869989700836,-0.0004887231423029159,0.0004466638566671677,-0.0007120550706364998
62.5,1,0.9,3,6,3,6,-0.0058117361536950685,-0.005131508172002058,0.0006802279816930101,-0.005471622162848563
62.5,1,2.7,4,5,4,5,-0.1567888141280822,-0.1520949202597035,0.004693893868378707,-0.15444186719389286
62.5,2,0.1,12,13,4,5,-5.9047360241759606e-05,5.9268454116190306e-05,0.00011831581435794991,1.1054693721535003e-07
62.5,2,0.3,9,16,1,8,-0.0010311248181261723,-0.0005738442839098301,0.0004572805342163422,-0.0008024845510180012
62.5,2,0.9,10,15,2,7,-0.00484912818816291,-0.004648306814446723,0.0002008213737161868,-0.004748717501304817
62.5,2,2.7,11,14,3,6,-0.13221459431739166,-0.1212187310401377,0.010995863277253964,-0.1267166626787647
