distance_nm,block,block_midpoint_elapsed_min,speed_um_per_s,early_map_order,late_map_order,early_position_in_block,late_position_in_block,early_force_pN,late_force_pN,pair_mean_force_pN,pair_half_difference_pN,pair_centre_elapsed_min,pair_centre_offset_from_block_midpoint_min,pair_time_gap_min
200.0,2,30.7489375,0.9,10,15,2,7,113.41612093521154,110.51014357234075,111.96313225377614,1.452988681435393,30.78379583333333,0.03485833333332877,15.715141666666664
200.0,2,30.7489375,2.7,11,14,3,6,136.47685825721828,132.30067449611312,134.3887663766657,2.0880918805525823,30.669449999999998,-0.0794875000000026,13.259749999999997
200.0,3,53.65297223333333,0.1,19,22,3,6,12.20081059658756,18.96126164802904,15.581036122308301,3.38022552572074,53.87775,0.22477776666666927,11.628483333333335
200.0,3,53.65297223333333,0.3,20,21,4,5,39.69749541578138,41.177630144893484,40.43756278033743,0.7400673645560509,53.65297223333333,0.0,2.530633333333334
200.0,3,53.65297223333333,0.9,17,24,1,8,105.99684185079234,97.4470545518688,101.72194820133058,4.274893649461767,53.4317,-0.22127223333333035,21.642333333333326
200.0,3,53.65297223333333,2.7,18,23,2,7,119.61777925175033,89.73996274832288,104.67887100003661,14.938908251713727,53.603966666666665,-0.04900556666666489,19.026850000000003
200.0,4,76.37010833333333,0.1,26,31,2,7,15.55862013054071,19.332260394255236,17.445440262397973,1.886820131857263,76.67854583333333,0.3084374999999966,14.308558333333337
200.0,4,76.37010833333333,0.3,27,30,3,6,48.779898607780744,45.4722889666978,47.12609378723927,1.6538048205414704,76.60449723333335,0.23438890000001322,5.632400000000004
200.0,4,76.37010833333333,0.9,28,29,4,5,99.08774610006449,97.10478406116732,98.09626508061591,0.9914810194485852,76.37010833333333,0.0,1.3930000000000007
200.0,4,76.37010833333333,2.7,25,32,1,8,106.88123804926124,110.18960980092888,108.53542392509506,1.654185875833818,76.34965833333334,-0.02044999999999675,21.637349999999998
