source,map_order,point_index,row,column,distance_nm,force_linear_drift_corrected_pN,force_far_constant_referenced_pN
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,57,7,6,100.0,-21.55216824897251,32.01655062737125
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,58,7,5,100.0,36.24100368628884,43.458867565224
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,59,7,4,100.0,157.98269242758226,42.59192055365984
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,60,7,3,100.0,10.707240618171149,6.1153999912016666
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,61,7,2,100.0,3.5689450772037246,11.764391714280743
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,62,7,1,100.0,-62.86616674506908,-8.88966590550839
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,63,7,0,100.0,97.2119733891895,11.039117396736119
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,0,0,0,200.0,-92.81545262162987,-76.94678017839256
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,1,0,1,200.0,-54.028685471613834,-11.923093513423595
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,1,2,0,2,200.0,-97.0286812846808,-10.043624293019104
