source,timestamp,map_order,baseline_method,distance_nm,force_median_pN,force_q25_pN,force_q75_pN,valid_pixels
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,1,far_constant_referenced,75.0,23.80742807403872,12.0589567991839,37.99953158758168,64
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,1,far_constant_referenced,80.0,22.282879699146953,8.012977418009712,35.56006793191807,64
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,1,far_constant_referenced,85.0,20.14064192606274,5.716014260086499,32.35201808543373,64
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,1,far_constant_referenced,90.0,17.009090012753497,3.264739619184872,28.557957115306152,64
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,1,far_constant_referenced,95.0,12.101751295134104,-0.17892386147794004,30.706299940834786,64
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,1,far_constant_referenced,100.0,11.140848561201693,-0.8665035452846341,23.400858189199127,64
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,1,far_constant_referenced,105.0,9.908071433654566,0.008130215120019518,24.695720595844758,64
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,1,far_constant_referenced,110.0,7.043515784887083,-3.908992647506424,22.31826830823349,64
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,1,far_constant_referenced,115.0,7.228204707995767,-4.356745767481053,20.68014821921941,64
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,1,far_constant_referenced,120.0,7.429804478554079,-4.4105677915755646,21.862311062092008,64
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,1,far_constant_referenced,125.0,5.3906282687731135,-5.378536421558414,22.95889969527359,64
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,1,far_constant_referenced,130.0,6.397503673657655,-7.407453778078427,18.90303101607151,64
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,1,far_constant_referenced,135.0,3.8763387471425927,-6.213435603339771,18.644519739673058,64
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,1,far_constant_referenced,140.0,5.664246963085793,-7.5427553398852965,19.51613792937804,64
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,1,far_constant_referenced,145.0,2.406129773671691,-9.971960142288175,17.330913491623164,64
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,1,far_constant_referenced,150.0,1.0686650397970447,-9.452173316350006,13.540621984869677,64
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,1,far_constant_referenced,155.0,1.3350995803852963,-9.86258657560948,12.396626806433321,64
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,1,far_constant_referenced,160.0,2.0689180149106687,-13.431854488772677,11.636422128290713,64
31-08-26/map-data-2026.08.31-14.40.37.339.jpk-force-map,2026-08-31T14:40:37.339000,1,far_constant_referenced,165.0,0.6732705051950556,-12.715065159371143,12.053221301972023,64
