analysis,dataset_subset,baseline_method,fit_variant,parameter,time_model,n,speed_beta_log_per_um_per_s,speed_HC3_SE_log_per_um_per_s,speed_HC3_95CI_low_log_per_um_per_s,speed_HC3_95CI_high_log_per_um_per_s,speed_two_sided_p,high_0p2_vs_low_0p05_percent,high_vs_low_percent_CI_low,high_vs_low_percent_CI_high,model_R2,design_rank,parameter_count,residual_df,design_condition,claim_status
time_adjusted_speed_dependence,no_refresh_testB_blocks3_5,far_constant_referenced,measurement_window_20_200nm,lambda_D_nm,global_time_poly1,17,0.040640464952088506,0.15481134812642683,-0.2913968536479449,0.3726777835521219,0.7967471089595934,0.6114688590671926,-4.276803386727411,5.749369266001712,0.9919142271579899,3,3,14,1.072912957239902,sequential_time_model_sensitivity_not_randomized_causal_effect
time_adjusted_speed_dependence,no_refresh_testB_blocks3_5,far_constant_referenced,measurement_window_20_200nm,lambda_D_nm,global_time_poly2,17,0.037745592035675075,0.11521350714523289,-0.21115805760183298,0.2866492416731831,0.7484193700357828,0.567789730725845,-3.11773510290894,4.393516626252626,0.9973603486988584,4,4,13,1.1210159228713037,sequential_time_model_sensitivity_not_randomized_causal_effect
time_adjusted_speed_dependence,no_refresh_testB_blocks3_5,far_constant_referenced,measurement_window_20_200nm,lambda_D_nm,global_time_poly3,17,0.0103185585628509,0.08967105152423756,-0.18505787894756726,0.20569499607326908,0.9102917389432521,0.15489822199759143,-2.737694991381725,3.133517522228815,0.9984429683548403,5,5,12,1.3889260164496964,sequential_time_model_sensitivity_not_randomized_causal_effect
time_adjusted_speed_dependence,no_refresh_testB_blocks3_5,far_constant_referenced,measurement_window_20_200nm,lambda_D_nm,block_fixed_linear_within,17,0.04112678666137226,0.1537726696495221,-0.29391507882260093,0.37616865214534545,0.7936625693588318,0.6188085579994211,-4.312954443086565,5.804757338961054,0.9946060459572372,5,5,12,1.090850324679209,sequential_time_model_sensitivity_not_randomized_causal_effect
time_adjusted_speed_dependence,no_refresh_testB_blocks3_5,far_constant_referenced,measurement_window_20_200nm,lambda_D_nm,block_fixed_quadratic_within,17,0.03277842443042456,0.17254610606539747,-0.3469929944496138,0.4125498433104629,0.8527935858452752,0.492887078150838,-5.071760087748371,6.383731149307885,0.9955176487476457,6,6,11,1.2766246467757953,sequential_time_model_sensitivity_not_randomized_causal_effect
time_adjusted_speed_dependence,no_refresh_testB_blocks3_5,far_constant_referenced,measurement_window_20_200nm,zeta_magnitude_mV,global_time_poly1,17,0.055533581322274594,0.4775299895364484,-0.9686663833166094,1.0797335459611586,0.909071741978455,0.8364828495373239,-13.523713790049086,17.581324535361382,0.8246191220849604,3,3,14,1.072912957239902,sequential_time_model_sensitivity_not_randomized_causal_effect
time_adjusted_speed_dependence,no_refresh_testB_blocks3_5,far_constant_referenced,measurement_window_20_200nm,zeta_magnitude_mV,global_time_poly2,17,0.04697233658103214,0.29795393140767207,-0.5967179979014371,0.6906626710635014,0.8771552233776339,0.7070730891909621,-8.561877535039693,10.915603872751205,0.9524904358700909,4,4,13,1.1210159228713037,sequential_time_model_sensitivity_not_randomized_causal_effect
time_adjusted_speed_dependence,no_refresh_testB_blocks3_5,far_constant_referenced,measurement_window_20_200nm,zeta_magnitude_mV,global_time_poly3,17,0.12139957432684287,0.31292165312243037,-0.5603981381757941,0.8031972868294799,0.7048433744420552,1.8376748042551965,-8.062365136776268,12.803772089265866,0.9738923696711449,5,5,12,1.3889260164496964,sequential_time_model_sensitivity_not_randomized_causal_effect
time_adjusted_speed_dependence,no_refresh_testB_blocks3_5,far_constant_referenced,measurement_window_20_200nm,zeta_magnitude_mV,block_fixed_linear_within,17,0.06817562322705495,0.4323236038612177,-0.8737765914320913,1.010127837886201,0.8773189411982459,1.0278811233139995,-12.284054875245051,16.360061443218466,0.8806162797230263,5,5,12,1.090850324679209,sequential_time_model_sensitivity_not_randomized_causal_effect
time_adjusted_speed_dependence,no_refresh_testB_blocks3_5,far_constant_referenced,measurement_window_20_200nm,zeta_magnitude_mV,block_fixed_quadratic_within,17,0.04879761682272754,0.42207557861759815,-0.88018446814803,0.9777797017934851,0.9100424660474521,0.7346496587475627,-12.368325313520916,15.796824358034206,0.8938016474484384,6,6,11,1.2766246467757953,sequential_time_model_sensitivity_not_randomized_causal_effect
