block,speed_low_um_per_s,speed_high_um_per_s,delta_speed_um_per_s,distance_nm,reference_distance_nm,speed_contrast_pN,reference_speed_contrast_pN,distance_double_difference_pN,double_difference_per_delta_speed_pN_per_um_s,classical_pair_coefficient_pN_nm_per_um_s
2,0.3,0.9,0.6000000000000001,55.0,200.0,397.72281658821953,64.89559672440812,332.8272198638114,554.7120331063522,42081.60251151638
2,0.3,0.9,0.6000000000000001,60.0,200.0,400.1659360279557,64.89559672440812,335.2703393035476,558.7838988392459,47895.76275764965
2,0.3,0.9,0.6000000000000001,65.0,200.0,367.2307555210282,64.89559672440812,302.3351587966201,503.89193132770004,48522.92672044519
2,0.3,0.9,0.6000000000000001,70.0,200.0,347.72135411866213,64.89559672440812,282.825757394254,471.37626232375663,50763.59748101994
2,0.3,0.9,0.6000000000000001,75.0,200.0,327.273537788221,64.89559672440812,262.3779410638129,437.2965684396881,52475.58821276256
2,0.3,0.9,0.6000000000000001,80.0,200.0,299.63070998057543,64.89559672440812,234.73511325616732,391.2251887602788,52163.3585013705
2,0.3,0.9,0.6000000000000001,85.0,200.0,282.5393860581867,64.89559672440812,217.6437893337786,362.739648889631,53622.38287933676
2,0.3,0.9,0.6000000000000001,90.0,200.0,260.3690672650312,64.89559672440812,195.4734705406231,325.78911756770515,53310.94651107902
2,0.3,0.9,0.6000000000000001,95.0,200.0,237.52225107066482,64.89559672440812,172.62665434625671,287.71109057709447,52062.00686633138
2,0.3,0.9,0.6000000000000001,100.0,200.0,219.939282982947,64.89559672440812,155.04368625853886,258.4061437642314,51681.22875284628
