block,speed_um_per_s,distance_nm,early_map_order,late_map_order,early_force_pN,late_force_pN,pair_mean_force_pN,pair_half_difference_pN
1,2.7,245.0,4,5,-20.915942757180204,-31.313334628085535,-26.11463869263287,5.198695935452665
1,2.7,250.0,4,5,-40.0313329871826,-48.84000593825468,-44.435669462718636,4.404336475536038
1,2.7,255.0,4,5,-51.823635742672536,-74.58025780608347,-63.201946774378,11.378311031705465
1,2.7,260.0,4,5,-79.04717018768322,-82.89233287302329,-80.96975153035325,1.9225813426700356
1,2.7,265.0,4,5,-95.51339775428681,-105.82379304517028,-100.66859539972855,5.155197645441731
1,2.7,270.0,4,5,-117.76323284639895,-120.80410378278624,-119.2836683145926,1.5204354681936465
1,2.7,275.0,4,5,-143.16578688703464,-140.67535860436072,-141.92057274569768,1.2452141413369588
1,2.7,280.0,4,5,-159.7067841290597,-164.86955317748541,-162.28816865327258,2.581384524212851
1,2.7,285.0,4,5,-160.70867789856408,-186.979176489608,-173.84392719408604,13.135249295521959
1,2.7,290.0,4,5,-186.2607215871793,-202.02994932107924,-194.14533545412928,7.884613866949977
1,2.7,295.0,4,5,-208.3178255394333,-214.15247790650545,-211.23515172296936,2.917326183536076
1,2.7,300.0,4,5,-240.66332298133864,-239.51838436858344,-240.09085367496104,0.5724693063775987
2,0.1,20.0,12,13,661.0904576521766,582.4450191484331,621.7677384003048,39.322719251871774
2,0.1,25.0,12,13,541.8329081927375,497.1835495490763,519.5082288709069,22.324679321830587
2,0.1,30.0,12,13,455.715737515194,413.07878157367685,434.3972595444354,21.31847797075858
2,0.1,35.0,12,13,374.06912409596055,352.23442389350896,363.15177399473475,10.917350101225793
2,0.1,40.0,12,13,315.8787668246457,299.5813964554483,307.73008164004705,8.14868518459869
2,0.1,45.0,12,13,258.73609622841076,254.37445451324925,256.55527537083003,2.1808208575807555
2,0.1,50.0,12,13,219.27652842369778,217.18436919208884,218.2304488078933,1.046079615804473
2,0.1,55.0,12,13,182.40402783733856,186.92620980395915,184.66511882064884,2.2610909833102966
2,0.1,60.0,12,13,164.4270651448771,146.46418493061475,155.4456250377459,8.981440107131178
2,0.1,65.0,12,13,142.34066963797022,142.17318755314108,142.25692859555565,0.08374104241457303
2,0.1,70.0,12,13,124.67816039986386,118.29207132179357,121.48511586082871,3.1930445390351423
2,0.1,75.0,12,13,95.854657620082,113.43355007293536,104.64410384650867,8.789446226426683
2,0.1,80.0,12,13,87.44364071808278,88.32720853548113,87.88542462678195,0.44178390869917905
2,0.1,85.0,12,13,79.13835837592264,75.43420271640134,77.28628054616199,1.8520778297606455
2,0.1,90.0,12,13,70.28009853397032,80.15027555637994,75.21518704517513,4.93508851120481
