block,distance_nm,speed_um_per_s,pair_mean_force_pN,double_centered_interaction_pN
3,130.0,0.3,115.71383464564863,92.35256296611186
3,130.0,0.9,250.4657218645592,-4.921990183302114
3,130.0,2.7,473.6108561578917,-221.29354157024085
3,135.0,0.1,38.26698899659645,150.23168968918054
3,135.0,0.3,109.82127844175034,102.66329996418682
3,135.0,0.9,230.0774247140356,-9.106994131852446
3,135.0,2.7,434.9131090046448,-243.78799552151457
3,140.0,0.1,30.9051581394176,163.08626691040314
3,140.0,0.3,98.34141617461401,111.39984577545198
3,140.0,0.9,208.60817310463665,-10.359837662849998
3,140.0,2.7,394.35842142475326,-264.12627502300467
3,145.0,0.1,25.562597263451938,173.17145023965298
3,145.0,0.3,90.67553632932439,119.16171013537786
3,145.0,0.9,192.58554360127803,-10.954722960993024
3,145.0,2.7,361.67851482850494,-281.3784374140375
3,150.0,0.1,28.827081386006913,186.49462399387255
3,150.0,0.3,88.26645506777257,126.81131850549065
3,150.0,0.9,184.89366087418526,-8.58791605642125
3,150.0,2.7,328.2802361679362,-304.7180264429416
3,155.0,0.1,24.964820915373302,193.72895872049529
3,155.0,0.3,83.81794102974716,133.45939966472156
3,155.0,0.9,177.86135172303312,-4.523630010317049
3,155.0,2.7,299.236939038722,-322.6647283748994
3,160.0,0.1,27.73213557085499,207.3566474271746
3,160.0,0.3,71.94384392735944,132.44567661353148
3,160.0,0.9,164.2626894890622,-7.26191819309031
3,160.0,2.7,278.50088751480837,-332.54040584761543
3,165.0,0.1,27.19877413481548,212.85610989074593
3,165.0,0.3,69.68049146372496,136.21514804950783
3,165.0,0.9,163.01826230974194,-2.473521472799746
3,165.0,2.7,258.41073299535924,-346.5977364674538
3,170.0,0.1,24.080159634962868,221.55185793429024
3,170.0,0.3,69.90612589970218,148.255145028882
3,170.0,0.9,142.65887565857452,-11.018545580570276
3,170.0,2.7,234.40564953681445,-358.7884573826016
3,175.0,0.1,20.042100133550058,228.2556290819372
3,175.0,0.3,62.70089220008553,151.7917419783251
3,175.0,0.9,132.88940492290425,-10.046185667180737
3,175.0,2.7,212.45109087727508,-370.00118539308124
3,180.0,0.1,20.903102850586798,237.6631697731499
3,180.0,0.3,59.42958221751137,157.0669699699269
3,180.0,0.9,131.24421526549688,-3.1448373504121605
3,180.0,2.7,182.32043590351617,-391.58530239266423
3,185.0,0.1,13.91285889019432,241.29299479921883
3,185.0,0.3,50.21338719881509,158.47084393769205
3,185.0,0.9,122.34633395694526,-1.4226496725023594
3,185.0,2.7,164.94448024531084,-398.34118906440807
3,190.0,0.1,14.423580671577866,248.6968411442922
3,190.0,0.3,48.085317647803734,163.23589895037048
3,190.0,0.9,118.38198380318605,1.5061247374282516
3,190.0,2.7,142.95367991393857,-413.4388648320905
3,195.0,0.1,14.31007589729956,257.7304671879112
3,195.0,0.3,44.03204906993875,168.3297611904028
3,195.0,0.9,106.90918762657913,-0.8195406212814191
3,195.0,2.7,122.00472617109959,-425.24068775703216
3,200.0,0.1,15.581036122308301,265.21058257814593
3,200.0,0.3,40.43756278033743,170.9444300660275
3,200.0,0.9,101.72194820133058,0.20237511869606806
3,200.0,2.7,104.67887100003661,-436.3573877628692
4,20.0,0.1,597.9965814722551,-688.6477476700614
4,20.0,0.3,930.0237508981924,-458.9922465405042
4,20.0,0.9,1689.477353160463,57.03540269184202
4,20.0,2.7,3141.312323427419,1090.6045915187237
4,25.0,0.1,489.98463639702925,-574.5554379055899
4,25.0,0.3,773.7603149324245,-393.1514276665746
4,25.0,0.9,1483.7029888598363,73.3652932309127
4,25.0,2.7,2722.94504941025,894.3415723412521
4,30.0,0.1,433.0890635903088,-459.91231271592324
4,30.0,0.3,682.1809071656651,-313.19213743694695
4,30.0,0.9,1280.0674464965173,41.26844886398078
4,30.0,2.7,2388.9007803615004,731.8360012888899
4,35.0,0.1,351.5817507318882,-406.03078372462346
4,35.0,0.3,586.0085322698108,-273.9756704830809
4,35.0,0.9,1145.572357409455,42.162201626638875
4,35.0,2.7,2159.5201898039554,637.8442525810652
4,40.0,0.1,305.8785505417937,-335.2134883502556
4,40.0,0.3,505.06513154130926,-238.39857564711997
4,40.0,0.9,1014.8815504019042,27.99189018355048
4,40.0,2.7,1950.7756154722533,545.6201738138255
4,45.0,0.1,261.97499165969896,-283.4439334657694
4,45.0,0.3,449.1356830094705,-198.65491041237794
4,45.0,0.9,916.9312792011501,25.714732749377276
