block,distance_nm,speed_intercept_pN,speed_slope_pN_per_um_s,distance_times_speed_slope_pN_nm_per_um_s,speed_linear_r2
4,120.0,62.12006955816392,175.92374887305095,21110.849864766114,0.9718639909987231
4,125.0,59.151800700063355,163.92862253499462,20491.077816874327,0.974879397076211
4,130.0,53.85434862497557,154.90364133816328,20137.473373961227,0.9652309121223543
4,135.0,52.24714250783512,140.40651679791466,18954.87976771848,0.9731833428104893
4,140.0,50.27194772487561,126.22140100169491,17670.996140237286,0.9653251979926313
4,145.0,55.848338585490566,113.98316750131505,16527.55928769068,0.9532784106816328
4,150.0,45.39496156610424,106.9092933437828,16036.394001567422,0.9555587011113065
4,155.0,43.84540791158208,96.50456675019879,14958.207846280813,0.9495891096091011
4,160.0,46.45901685390434,87.58252117135336,14013.203387416539,0.9330646700693215
4,165.0,42.59672886918415,80.84097436764027,13338.760770660645,0.9426765851339672
4,170.0,41.75427764760394,72.75177739728291,12367.802157538094,0.923855616381941
4,175.0,40.22431559986604,66.79873714675647,11689.779000682382,0.8770375971131839
4,180.0,38.810533306945416,57.26100069024699,10306.980124244457,0.8583627990463765
4,185.0,38.7751003914404,50.80402803014334,9398.745185576518,0.837856546395958
4,190.0,41.04256497815475,42.87544448490669,8146.334452132271,0.7959816926497871
4,195.0,35.42873513920868,37.01091556835957,7217.128535830117,0.715386117169297
4,200.0,37.798083793033626,30.00272197080343,6000.544394160686,0.682405894972968
4,205.0,34.748642958621076,22.8518945647946,4684.638385782892,0.47451265703978096
4,210.0,36.04206739900874,18.48077557848394,3880.962871481627,0.3220742582284599
4,215.0,30.081227349002855,7.605996374937676,1635.2892206116003,0.12034306741402523
4,220.0,33.99540788524812,1.143883413058061,251.65435087277345,0.002915432135130791
4,225.0,38.23267626925532,-5.337929042377673,-1201.0340345349764,0.04145790399383975
4,230.0,36.55022682023112,-10.446000877654312,-2402.580201860492,0.21032184926117992
4,235.0,33.741619439337754,-14.028372094099804,-3296.667442113454,0.37760230033928777
4,240.0,27.414606258692274,-15.18895665570706,-3645.3495973696945,0.39734514894961614
4,245.0,30.548357055804583,-20.67582743115605,-5065.577720633232,0.539477426020866
4,250.0,29.169645951988198,-26.23562374797665,-6558.905936994162,0.6528924900258544
4,255.0,33.00661308865374,-35.87003030307568,-9146.857727284298,0.7398329781115952
4,260.0,25.36214620371895,-36.94778030783926,-9606.422880038208,0.7928400314412516
4,265.0,29.14969015338384,-45.88798498591758,-12160.31602126816,0.8480963533739472
4,270.0,34.29281542674162,-54.5088341660396,-14717.385224830692,0.8399976406892609
4,275.0,31.14828216521207,-61.07837158513903,-16796.552185913235,0.8831108625972446
4,280.0,30.59033812643825,-65.03207664767663,-18208.981461349456,0.9111649031599699
