acquisition_order,point_index,gap_speed_um_per_s,far_distance_min_nm,far_distance_max_nm,far_sample_count,hydro_far_line_slope_pN_per_nm,hydro_far_line_intercept_pN,hydro_after_far_line_at_80nm_pN
3,7,3.9902099790164876,687.0050292326459,885.3382172791675,200,-0.002234308660499443,3.5078665247675014,13.788112775782771
3,8,3.9920329640792658,685.8785910067191,884.9320912933616,200,-0.0022410438076308596,3.513969673933694,13.789391408028724
3,9,3.9923734197334495,686.952740845673,884.7567150414058,200,-0.0022385853836140637,3.5121804197699262,13.792960923693634
3,10,3.987145556673792,687.8722320854062,886.0603755801953,200,-0.002229473552902816,3.5027089836008845,13.779370753941555
3,11,3.986226698686544,686.9410748868942,885.118565587977,200,-0.002232505129243546,3.5046957069383375,13.771974148291434
3,12,3.992318931729133,687.2249429814647,885.1523355308161,200,-0.002235017438987701,3.5093442521378178,13.79500701988591
3,13,3.9891327115936925,686.1118961924493,884.2987664488073,200,-0.0022390184447107254,3.51110509827923,13.779489521522114
3,14,3.9941832163476256,688.5405212205634,886.605714182724,200,-0.002228120966582799,3.5047052005977704,13.807574131450629
3,15,3.9890143218401466,685.3966542695083,883.5424071110243,200,-0.002243417314695983,3.514520827334817,13.77538603262876
3,16,3.982977381788155,687.0557376977277,885.2885495341717,200,-0.0022301541263009448,3.501419271744146,13.761162080829287
3,17,3.9837687848237184,687.5536541228942,884.0160868236824,200,-0.0022288122307384485,3.50068953285919,13.76576122469236
3,18,3.991471518257781,688.4479466183087,884.7941177266172,200,-0.0022272793426616313,3.5028435094319597,13.798278521931708
3,19,3.9920824170782296,688.771241529268,885.5859234342631,200,-0.002226070154131897,3.50215150325395,13.801440291720114
3,20,3.985185323326219,684.8269957335555,881.2582424911016,200,-0.002245304249101844,3.5143074482906345,13.760181341557182
3,21,3.9838720714792717,683.4793788240028,879.442364104631,200,-0.0022518682079758364,3.518880698647433,13.749483240993108
3,22,3.988620041872882,687.8244372380688,882.0937622368401,200,-0.002230887844358001,3.504413464038202,13.783090945253164
3,23,3.994918356844217,683.4764547967834,879.8159471891822,200,-0.002258810771599507,3.5291957593232857,13.787394902282365
3,24,3.9797679899879785,685.5112332859533,883.3893883291781,200,-0.0022380237780021983,3.506214622575861,13.741823287746513
3,25,3.9932372589344287,686.0498983486077,882.0731015183708,200,-0.0022426099947058502,3.51570462836722,13.793215307276125
3,26,3.9851611676691787,686.458059373631,885.7955169777271,200,-0.0022345280221755214,3.505838889616144,13.76777291980771
3,27,3.9837846723639014,685.3073926252227,883.4898810617353,200,-0.002241381925366893,3.510628452264217,13.756464533922923
3,28,3.9874525949452,686.161740460691,884.4733731148048,200,-0.0022381155717369457,3.509659950445333,13.774765277836897
3,29,3.9893003735526404,686.1693266742528,883.4893141716564,200,-0.0022400792167451325,3.5120064893651497,13.779590481925588
3,30,3.98852787598116,688.6402942286103,886.6755767780301,200,-0.0022243243226748176,3.4992374566481863,13.789067148858898
3,31,3.9828801798809987,686.434389042383,884.0351271945715,200,-0.002234890145901783,3.5051014386223396,13.755754100444936
