source,acquisition_order,block,nominal_speed_um_per_s,distance_nm,linear_drift_corrected_force_pN,far_constant_referenced_force_pN,linear_minus_constant_pN
27-08-26/0/map4-0.05-data-2026.08.27-16.56.56.658.jpk-force-map,21,4,0.05,200.0,1.1449496581721397,4.581899839103087,-3.436950180930948
27-08-26/0/map4-0.05-data-2026.08.27-17.08.28.590.jpk-force-map,22,4,0.05,20.0,1684.2909331132996,1686.2298616014557,-1.9389284881560798
27-08-26/0/map4-0.05-data-2026.08.27-17.08.28.590.jpk-force-map,22,4,0.05,50.0,170.49204381597474,174.16924181177654,-3.677197995801805
27-08-26/0/map4-0.05-data-2026.08.27-17.08.28.590.jpk-force-map,22,4,0.05,100.0,10.846485967599513,13.280609858168567,-2.4341238905690545
27-08-26/0/map4-0.05-data-2026.08.27-17.08.28.590.jpk-force-map,22,4,0.05,200.0,2.501086977370599,4.203896457788087,-1.7028094804174878
27-08-26/0/map4-0.1-data-2026.08.27-17.19.56.860.jpk-force-map,23,4,0.1,20.0,1467.5907025908011,1467.467575742899,0.1231268479020855
27-08-26/0/map4-0.1-data-2026.08.27-17.19.56.860.jpk-force-map,23,4,0.1,50.0,124.496516284014,127.85981892382515,-3.3633026398111383
27-08-26/0/map4-0.1-data-2026.08.27-17.19.56.860.jpk-force-map,23,4,0.1,100.0,9.53407831755123,10.65933902624992,-1.1252607086986899
27-08-26/0/map4-0.1-data-2026.08.27-17.19.56.860.jpk-force-map,23,4,0.1,200.0,2.72179382084378,3.9407015818556688,-1.2189077610118888
27-08-26/0/map4-0.2-data-2026.08.27-17.25.48.068.jpk-force-map,24,4,0.2,20.0,1352.412823811604,1356.5220808154704,-4.1092570038663325
27-08-26/0/map4-0.2-data-2026.08.27-17.25.48.068.jpk-force-map,24,4,0.2,50.0,101.53699828662594,104.33143940832758,-2.794441121701638
27-08-26/0/map4-0.2-data-2026.08.27-17.25.48.068.jpk-force-map,24,4,0.2,100.0,5.2478576350838555,8.820336244506498,-3.5724786094226424
27-08-26/0/map4-0.2-data-2026.08.27-17.25.48.068.jpk-force-map,24,4,0.2,200.0,3.0176973229987496,3.969908504546047,-0.9522111815472973
27-08-26/0/map5-0.1-data-2026.08.27-17.31.45.428.jpk-force-map,25,5,0.1,20.0,1273.5507525423532,1280.5008201146895,-6.950067572336366
27-08-26/0/map5-0.1-data-2026.08.27-17.31.45.428.jpk-force-map,25,5,0.1,50.0,75.14631629910507,81.39858892773273,-6.252272628627665
27-08-26/0/map5-0.1-data-2026.08.27-17.31.45.428.jpk-force-map,25,5,0.1,100.0,5.43289951858605,9.689714327628643,-4.256814809042593
27-08-26/0/map5-0.1-data-2026.08.27-17.31.45.428.jpk-force-map,25,5,0.1,200.0,2.1976129367862947,4.585783801575678,-2.3881708647893833
