block,nominal_speed_um_per_s,actual_gap_speed_um_per_s,pair_midpoint_acquisition_order,pair_center_time_epoch_s,pair_half_span_min,baseline_method,quantity,distance_nm,median_pN,q25_pN,q75_pN,paired_pixel_count,early_source,late_source
1,0.05,0.049361446369162475,3.5,1787833593.719625,6.80558541615804,linear_drift_corrected,F_history,130.0,-1.8331317168019559,-6.6618630089853195,3.681365134690399,64,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map
1,0.05,0.049361446369162475,3.5,1787833593.719625,6.80558541615804,linear_drift_corrected,F_sym,135.0,6.577987566686215,-0.8208016685954688,13.328746529573918,64,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map
1,0.05,0.049361446369162475,3.5,1787833593.719625,6.80558541615804,linear_drift_corrected,F_history,135.0,-1.4128225098328901,-5.600877844674807,3.6465290713738057,64,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map
1,0.05,0.049361446369162475,3.5,1787833593.719625,6.80558541615804,linear_drift_corrected,F_sym,140.0,6.060948479445527,-1.1437587472734339,13.76327502500543,64,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map
1,0.05,0.049361446369162475,3.5,1787833593.719625,6.80558541615804,linear_drift_corrected,F_history,140.0,-1.8998497934627792,-6.224562332772567,3.0375481600787593,64,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map
1,0.05,0.049361446369162475,3.5,1787833593.719625,6.80558541615804,linear_drift_corrected,F_sym,145.0,6.692073912649528,-1.0424273087313134,13.566034517410815,64,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map
1,0.05,0.049361446369162475,3.5,1787833593.719625,6.80558541615804,linear_drift_corrected,F_history,145.0,-1.2059640473223507,-6.373076779568047,2.5099229417091693,64,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map
1,0.05,0.049361446369162475,3.5,1787833593.719625,6.80558541615804,linear_drift_corrected,F_sym,150.0,7.66808882852276,-0.6753140620945632,12.669806490594567,64,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map
1,0.05,0.049361446369162475,3.5,1787833593.719625,6.80558541615804,linear_drift_corrected,F_history,150.0,-1.103362716826323,-6.382446399464484,3.0932739131648366,64,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map
1,0.05,0.049361446369162475,3.5,1787833593.719625,6.80558541615804,linear_drift_corrected,F_sym,155.0,6.972728226983339,-0.7499181488765568,12.429973313216976,64,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map
1,0.05,0.049361446369162475,3.5,1787833593.719625,6.80558541615804,linear_drift_corrected,F_history,155.0,-1.0117805071517265,-5.640075317202735,3.55007885566042,64,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map
1,0.05,0.049361446369162475,3.5,1787833593.719625,6.80558541615804,linear_drift_corrected,F_sym,160.0,6.677444320070156,-1.6463304977770512,11.909010737294086,64,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map
1,0.05,0.049361446369162475,3.5,1787833593.719625,6.80558541615804,linear_drift_corrected,F_history,160.0,-1.5094666282227003,-4.681396387945005,3.5423499998103503,64,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map
1,0.05,0.049361446369162475,3.5,1787833593.719625,6.80558541615804,linear_drift_corrected,F_sym,165.0,6.325193087724964,-1.1203463761202275,11.18276697518424,64,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map
1,0.05,0.049361446369162475,3.5,1787833593.719625,6.80558541615804,linear_drift_corrected,F_history,165.0,-0.584332424235577,-4.317627081321509,3.5304416496982736,64,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map
1,0.05,0.049361446369162475,3.5,1787833593.719625,6.80558541615804,linear_drift_corrected,F_sym,170.0,6.729989784452237,-0.6781805804037924,11.9525459657462,64,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map
1,0.05,0.049361446369162475,3.5,1787833593.719625,6.80558541615804,linear_drift_corrected,F_history,170.0,-0.1655276283630557,-4.721207161577283,3.8536544530607397,64,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map
1,0.05,0.049361446369162475,3.5,1787833593.719625,6.80558541615804,linear_drift_corrected,F_sym,175.0,5.579255654424902,-1.1904989060575826,11.531646018956964,64,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map
1,0.05,0.049361446369162475,3.5,1787833593.719625,6.80558541615804,linear_drift_corrected,F_history,175.0,-0.8744366805729171,-5.004133610129071,3.3734922439264126,64,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map
1,0.05,0.049361446369162475,3.5,1787833593.719625,6.80558541615804,linear_drift_corrected,F_sym,180.0,4.5799769946894004,-1.3707039553323728,10.083463315882208,64,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map
1,0.05,0.049361446369162475,3.5,1787833593.719625,6.80558541615804,linear_drift_corrected,F_history,180.0,-0.9757592410277616,-3.864734266059893,3.1601362384058076,64,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map
1,0.05,0.049361446369162475,3.5,1787833593.719625,6.80558541615804,linear_drift_corrected,F_sym,185.0,3.313823416241939,-1.0965823708413769,9.68337204961185,64,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map
1,0.05,0.049361446369162475,3.5,1787833593.719625,6.80558541615804,linear_drift_corrected,F_history,185.0,-1.0168376715166472,-3.803537490388104,1.7181339536948685,64,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map
1,0.05,0.049361446369162475,3.5,1787833593.719625,6.80558541615804,linear_drift_corrected,F_sym,190.0,3.0919149713738907,-0.8153679372236742,9.885680604468245,64,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map
1,0.05,0.049361446369162475,3.5,1787833593.719625,6.80558541615804,linear_drift_corrected,F_history,190.0,-1.449149562057662,-3.969595923218051,1.8991964770599283,64,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map
1,0.05,0.049361446369162475,3.5,1787833593.719625,6.80558541615804,linear_drift_corrected,F_sym,195.0,3.1217952644648834,-1.456129207893155,9.5371335408709,64,27-08-26/0/map1-0.05-data-2026.08.27-14.14.18.398.jpk-force-map,27-08-26/0/map1-0.05-data-2026.08.27-14.27.55.012.jpk-force-map
