block,speed_um_per_s,distance_nm,early_map_order,late_map_order,early_scan_number,late_scan_number,pair_center_time,early_late_separation_min,pixelwise_pairing_permitted,early_force_pN,late_force_pN,pair_mean_force_pN,history_half_difference_pN,history_half_difference_absolute_pN,early_gap_speed_um_per_s,late_gap_speed_um_per_s,pair_mean_gap_speed_um_per_s,pair_gap_speed_over_nominal
2,0.2,240.0,7,12,15,20,2026-09-16T10:38:44.168750+02:00,19.818825,True,1.6803897251873576,3.08655634184736,2.383473033517359,0.7030833083300012,0.7030833083300012,0.19895773764305882,0.199930278493857,0.1994440080684579,0.9972200403422895
2,0.2,245.0,7,12,15,20,2026-09-16T10:38:44.168750+02:00,19.818825,True,2.31373806030124,1.2529134920467317,1.7833257761739858,-0.530412284127254,0.530412284127254,0.19947094576210392,0.19934207733032042,0.19940651154621217,0.9970325577310608
2,0.2,250.0,7,12,15,20,2026-09-16T10:38:44.168750+02:00,19.818825,True,-4.916753397102449,6.705290231421017,0.8942684171592843,5.811021814261733,5.811021814261733,0.1990015323211849,0.1988209517484845,0.19891124203483468,0.9945562101741734
2,0.2,255.0,7,12,15,20,2026-09-16T10:38:44.168750+02:00,19.818825,True,-0.6715768836146531,-4.452842123277704,-2.5622095034461787,-1.8906326198315255,1.8906326198315255,0.19934668125821298,0.19899613834633245,0.19917140980227271,0.9958570490113635
2,0.2,260.0,7,12,15,20,2026-09-16T10:38:44.168750+02:00,19.818825,True,-3.3908312978850064,-0.6617337737857765,-2.0262825358353913,1.364548762049615,1.364548762049615,0.19943626389524466,0.19868683650132932,0.19906155019828697,0.9953077509914349
2,0.2,265.0,7,12,15,20,2026-09-16T10:38:44.168750+02:00,19.818825,True,-3.00443627922061,-1.706430893799073,-2.3554335865098412,0.6490026927107684,0.6490026927107684,0.19921137309152562,0.19871744040671932,0.19896440674912247,0.9948220337456123
2,0.2,270.0,7,12,15,20,2026-09-16T10:38:44.168750+02:00,19.818825,True,5.769403959650923,-5.9614222728978525,-0.09600915662346488,-5.865413116274388,5.865413116274388,0.1993560369796363,0.19899408340185137,0.19917506019074382,0.9958753009537191
2,0.2,275.0,7,12,15,20,2026-09-16T10:38:44.168750+02:00,19.818825,True,-2.043045478972253,-3.2415888521686194,-2.6423171655704363,-0.5992716865981831,0.5992716865981831,0.19988296651817003,0.1997093039989898,0.19979613525857992,0.9989806762928995
2,0.2,280.0,7,12,15,20,2026-09-16T10:38:44.168750+02:00,19.818825,True,0.14459627192342955,-7.656244793273236,-3.755824260674903,-3.9004205325983325,3.9004205325983325,0.19958924639678977,0.1998450262549314,0.19971713632586058,0.9985856816293028
2,0.2,285.0,7,12,15,20,2026-09-16T10:38:44.168750+02:00,19.818825,True,-2.378558539657816,-9.265459090148926,-5.822008814903372,-3.443450275245555,3.443450275245555,0.1991203661209836,0.19905894038123365,0.1990896532511086,0.9954482662555431
2,0.2,290.0,7,12,15,20,2026-09-16T10:38:44.168750+02:00,19.818825,True,-4.535004552230728,0.5483897286200552,-1.9933074118053362,2.5416971404253914,2.5416971404253914,0.19927494870963647,0.19902603365927576,0.1991504911844561,0.9957524559222805
2,0.2,295.0,7,12,15,20,2026-09-16T10:38:44.168750+02:00,19.818825,True,-7.14955765191541,-7.920045785511425,-7.5348017187134175,-0.38524406679800727,0.38524406679800727,0.1990688205801995,0.19950563299418528,0.1992872267871924,0.996436133935962
2,0.2,300.0,7,12,15,20,2026-09-16T10:38:44.168750+02:00,19.818825,True,-7.895148507710216,-7.283760051767282,-7.589454279738749,0.30569422797146695,0.30569422797146695,0.19976079186621248,0.1990115608513752,0.19938617635879385,0.9969308817939693
2,0.4,5.0,8,11,16,19,2026-09-16T10:38:46.538000+02:00,14.404733333333333,True,1773.0304058116901,1339.6186079792033,1556.3245068954466,-216.70589891624343,216.70589891624343,0.15540764441793423,0.15889761088610746,0.15715262765202084,0.39288156913005207
2,0.4,10.0,8,11,16,19,2026-09-16T10:38:46.538000+02:00,14.404733333333333,True,1359.4869463505568,1383.9480486991017,1371.7174975248292,12.230551174272478,12.230551174272478,0.20606550482772537,0.2073426325067138,0.20670406866721958,0.5167601716680489
2,0.4,15.0,8,11,16,19,2026-09-16T10:38:46.538000+02:00,14.404733333333333,True,1183.8801616838025,1165.3827411455632,1174.631451414683,-9.24871026911967,9.24871026911967,0.31730907249993845,0.3204920288888416,0.31890055069439005,0.7972513767359751
2,0.4,20.0,8,11,16,19,2026-09-16T10:38:46.538000+02:00,14.404733333333333,True,938.0077514410426,958.7322002915982,948.3699758663204,10.362224425277816,10.362224425277816,0.33189962807675427,0.3251714210456932,0.3285355245612237,0.8213388114030592
2,0.4,25.0,8,11,16,19,2026-09-16T10:38:46.538000+02:00,14.404733333333333,True,769.1548935483909,788.7050325644368,778.9299630564138,9.775069508022966,9.775069508022966,0.34038621020447596,0.3402220621371188,0.34030413617079736,0.8507603404269933
2,0.4,30.0,8,11,16,19,2026-09-16T10:38:46.538000+02:00,14.404733333333333,True,660.5860700047449,666.6608080785928,663.6234390416689,3.0373690369239625,3.0373690369239625,0.3530457008801027,0.3518715459874781,0.3524586234337904,0.881146558584476
