block,distance_nm,speed_um_per_s,pair_mean_force_pN,double_centered_interaction_pN,pair_mean_gap_speed_um_per_s,gap_speed_over_nominal,additive_null_prediction_pN,theoretical_no_slip_prediction_pN,fitted_v_over_D_prediction_pN,shifted_v_over_D_prediction_pN,velocity_power_over_D_prediction_pN,empirical_power_shift_prediction_pN,actual_gap_theoretical_no_slip_prediction_pN,actual_gap_fitted_prediction_pN,actual_gap_shifted_prediction_pN
1,100.0,0.1,18.385771146126388,12.852015691223812,0.09949579932414798,0.9949579932414798,0.0,135.03536342859272,14.017137940729546,11.525507392891573,14.498633885231664,11.915362372238192,103.40675925927323,13.315841191345907,12.029703971265516
1,100.0,0.2,56.90303203884011,5.889963766279408,0.19788044051129555,0.9894022025564777,0.0,33.75884085714819,3.5042844851823878,2.881376848222894,2.782040571681362,2.3107932082039486,22.264856529808753,2.8670784755537846,2.502455710470286
1,100.0,0.4,111.37426518787596,-18.74197945750319,0.39490873879408994,0.9872718469852249,-0.0,-168.79420428574085,-17.521422425911926,-14.406884241114462,-17.280674456913026,-14.22615558044215,-125.6716157890828,-16.182919666899796,-14.53215968173564
1,105.0,0.1,15.937237557403758,14.805988322673869,0.0994663654976286,0.9946636549762861,0.0,155.02155044895784,16.09177330483415,14.36290544191002,16.644534048067715,14.84493566238531,121.3211785406862,15.622707433893664,14.675676696106647
1,105.0,0.2,52.13610009391407,5.525538041526062,0.198478237612697,0.992391188063485,0.0,38.755387612239474,4.022943326208539,3.590726360477506,3.1938022150916825,2.878936907935679,27.312165215545317,3.5170278732953233,3.2537844210448537
1,105.0,0.4,105.38221206100656,-20.331526364199902,0.3960151526646437,0.9900378816616092,-0.0,-193.77693806119723,-20.114716631042683,-17.95363180238752,-19.838336263159402,-17.723872570321003,-148.63334375623205,-19.139735307189056,-17.92946111715134
1,110.0,0.1,15.285883533579323,18.902482567427512,0.09939704041263922,0.9939704041263921,0.0,173.19081137656258,17.977805454020164,16.978312795915638,18.595352377918687,17.545207466658127,139.93387789089286,18.019492232730624,17.4632089197954
1,110.0,0.2,43.268602029532616,1.4058882457226787,0.1979654536645366,0.989827268322683,0.0,43.29770284414066,4.494451363505043,4.244578198978911,3.5681309818283387,3.4026112663552257,31.16354265252309,4.012975436937105,3.823700782932297
1,110.0,0.4,100.65751934347823,-20.308370813150162,0.3957130136619553,0.9892825341548883,-0.0,-216.48851422070314,-22.4722568175252,-21.22289099489454,-22.163483359747026,-20.947818733013364,-171.0974205434165,-22.0324676696678,-21.28690970272749
1,115.0,0.1,13.876807762508431,22.53819123176949,0.09925902761389901,0.9925902761389901,0.0,189.78013657133204,19.69983480762478,19.396800669318107,20.376534331260864,20.0420854568571,155.89460668565002,20.07477886439314,19.856861143442504
1,115.0,0.2,37.381221973031145,0.563292624634073,0.19806956539956938,0.9903478269978468,0.0,47.44503414283302,4.9249587019061964,4.8492001673295295,3.9099094210226757,3.886840660411154,35.5231481207039,4.574368275152494,4.480656839679284
1,115.0,0.4,92.81962186481195,-23.101483856403576,0.3957892869816566,0.9894732174541415,-0.0,-237.225170714165,-24.624793509530967,-24.24600083664763,-24.286443752283546,-23.92892611726827,-191.41775480635474,-24.649147139545736,-24.337517983121607
1,120.0,0.1,2.6602381216275957,18.623104889190927,0.09933879525199477,0.9933879525199476,0.0,204.98701799987074,21.278361715095677,21.6398019181639,22.009284455157864,22.357716049234064,171.3415842194835,22.063908987029382,22.191135214101408
1,120.0,0.2,32.017899251700996,2.5014532016062105,0.19838529226855772,0.9919264613427886,0.0,51.2467544999677,5.319590428773921,5.409950479540978,4.223206323617485,4.335920031932513,40.31958986252244,5.192013165826028,5.213070066964489
1,120.0,0.4,87.49506433211613,-21.12455809079711,0.3951559361611616,0.9878898404029041,-0.0,-256.2337724998383,-26.597952143869588,-27.04975239770487,-26.232490778775354,-26.693636081166595,-211.6611740820065,-27.25592215285548,-27.40420528106574
1,125.0,0.1,5.126156026273791,24.362226340221724,0.09976494202077338,0.9976494202077337,0.0,218.9773489141263,22.7306064699689,23.725747935917976,23.511414569143106,24.51114306858467,184.3642096159224,23.740851702530037,24.158055525240126
1,125.0,0.2,29.24829951958661,3.0050570158764174,0.1990003345599567,0.9950016727997835,0.0,54.7443372285316,5.682651617492227,5.931436983979497,4.5114394740047095,4.753542624953454,43.42520369680712,5.591927648353176,5.681134376580537
1,125.0,0.4,77.9791355204305,-27.36728335609814,0.39633199889774656,0.9908299972443664,-0.0,-273.7216861426578,-28.41325808746112,-29.657184919897464,-28.022854043147817,-29.264685693538148,-227.78941331273018,-29.3327793508833,-29.839189901820546
