model,coefficient_pN_nm_per_um_s_to_alpha,velocity_exponent_alpha,distance_shift_D0_nm,parameter_count,interaction_rms_pN,residual_rmse_pN,normalized_rmse,optimizer_success,optimizer_nfev,optimizer_message,jacobian_rank,jacobian_condition,fit_range,minimum_distance_nm,maximum_distance_nm,scope,blocks,glycerol_mass_fraction_assumed,temperature_C_assumed,probe_radius_um_assumed,viscosity_mPa_s_assumed,theoretical_no_slip_coefficient_pN_nm_per_um_s
shifted_v_over_D,61016.04013929105,1.0,17.30049797402263,2,33.24226880614172,3.4930695379801313,0.10507915564820787,True,11,`ftol` termination condition is satisfied.,2,7461.536688533626,sensitivity_30_200,30.0,200.0,pooled_shared,1+2+3,0.997,25.6,4.546848945303745,807.7711337064577,314782.4455707509
velocity_power_over_D,35419.293586816326,0.8129918735031484,0.0,2,33.24226880614172,4.767309873937059,0.14341108610060538,True,17,`ftol` termination condition is satisfied.,2,16176.447382006902,sensitivity_30_200,30.0,200.0,pooled_shared,1+2+3,0.997,25.6,4.546848945303745,807.7711337064577,314782.4455707509
empirical_power_shift,57380.10693938484,0.8153739346770306,17.266495603704445,3,33.24226880614172,3.323607247755843,0.0999813600912157,True,9,`ftol` termination condition is satisfied.,3,88411.23536239951,sensitivity_30_200,30.0,200.0,pooled_shared,1+2+3,0.997,25.6,4.546848945303745,807.7711337064577,314782.4455707509
actual_gap_theoretical_no_slip,314782.4455707509,1.0,0.0,0,33.24226880614172,207.13154589435908,6.230968984165431,True,0,fixed campaign-assumption coefficient with measured U_gap(D),0,nan,sensitivity_30_200,30.0,200.0,pooled_shared,1+2+3,0.997,25.6,4.546848945303745,807.7711337064577,314782.4455707509
actual_gap_fitted,43283.294158903605,1.0,0.0,1,33.24226880614172,3.873485042291533,0.11652288430974608,True,0,closed form,1,1.0,sensitivity_30_200,30.0,200.0,pooled_shared,1+2+3,0.997,25.6,4.546848945303745,807.7711337064577,314782.4455707509
actual_gap_shifted,53232.60990196382,1.0,6.6376765254663,2,33.24226880614172,3.4831220327794186,0.10477991298042477,True,12,`ftol` termination condition is satisfied.,2,6648.2936871353895,sensitivity_30_200,30.0,200.0,pooled_shared,1+2+3,0.997,25.6,4.546848945303745,807.7711337064577,314782.4455707509
additive_null,0.0,1.0,0.0,0,43.895911311375286,43.895911311375286,1.0,True,0,closed form,0,nan,sensitivity_20_250,20.0,250.0,block_1,1,0.997,25.6,4.546848945303745,807.7711337064577,314782.4455707509
theoretical_no_slip,314782.4455707509,1.0,0.0,0,43.895911311375286,341.6796521076096,7.783860544183895,True,0,fixed campaign-assumption coefficient,0,nan,sensitivity_20_250,20.0,250.0,block_1,1,0.997,25.6,4.546848945303745,807.7711337064577,314782.4455707509
fitted_v_over_D,35276.29196591121,1.0,0.0,1,43.895911311375286,8.266301899461359,0.18831598781090145,True,0,closed form,1,1.0,sensitivity_20_250,20.0,250.0,block_1,1,0.997,25.6,4.546848945303745,807.7711337064577,314782.4455707509
shifted_v_over_D,68133.74350054488,1.0,19.99207082023396,2,43.895911311375286,3.338957064714635,0.07606533194013836,True,17,`ftol` termination condition is satisfied.,2,7344.436166855111,sensitivity_20_250,20.0,250.0,block_1,1,0.997,25.6,4.546848945303745,807.7711337064577,314782.4455707509
