acquisition_order,instrument_scan_number,block,position_in_block,map_midpoint_time,elapsed_midpoint_min,speed_um_per_s,distance_nm,available_pixels,map_median_force_pN,map_force_q25_pN,map_force_q75_pN,map_force_spatial_mad_pN,available_gap_speed_pixels,map_median_gap_speed_um_per_s,map_gap_speed_q25_um_per_s,map_gap_speed_q75_um_per_s,map_gap_speed_spatial_mad_um_per_s
6,14,1,6,2026-09-16T10:24:14.823000+02:00,17.210308333333334,0.09999999999999999,225.0,63,-6.9343508360305295,-18.183302472372116,6.0921365118796045,17.01476751837663,63,0.09969422318456879,0.09933297858328816,0.10046514032455897,0.0007662424961549458
6,14,1,6,2026-09-16T10:24:14.823000+02:00,17.210308333333334,0.09999999999999999,230.0,63,-1.83943291440522,-13.50083486013299,9.635684294244147,17.96842596696451,63,0.09978751090039863,0.09945931936866731,0.10026728819011743,0.0006394781709898303
6,14,1,6,2026-09-16T10:24:14.823000+02:00,17.210308333333334,0.09999999999999999,235.0,63,-2.133285754153982,-12.258343484374299,10.0024072153603,17.838027600014325,63,0.09971740672639459,0.09904791973708,0.10045730586570115,0.001028007711793998
6,14,1,6,2026-09-16T10:24:14.823000+02:00,17.210308333333334,0.09999999999999999,240.0,63,-0.6663375812524602,-9.889034925976686,14.348796882562233,19.63048170960344,63,0.09955104745005362,0.09904190031334642,0.10037686386800815,0.0010198928226449976
6,14,1,6,2026-09-16T10:24:14.823000+02:00,17.210308333333334,0.09999999999999999,245.0,63,-4.939885411304051,-18.213961570560024,5.522944917008617,17.520741657055623,63,0.09971394032985227,0.09915123149070468,0.10015974558211271,0.0007381309831234463
6,14,1,6,2026-09-16T10:24:14.823000+02:00,17.210308333333334,0.09999999999999999,250.0,63,0.7519740489689148,-12.62797555990282,9.951511135273085,16.026771670657677,63,0.09962319336996284,0.09936310636526471,0.10026392888909065,0.000807555666047454
6,14,1,6,2026-09-16T10:24:14.823000+02:00,17.210308333333334,0.09999999999999999,255.0,63,3.1652164878190603,-11.309662582039786,13.605522052609999,18.00272149121981,63,0.09970838190448372,0.09930358410494755,0.10046488575454032,0.0008057717334797442
6,14,1,6,2026-09-16T10:24:14.823000+02:00,17.210308333333334,0.09999999999999999,260.0,63,-4.851961161963763,-16.33404057024753,7.818239503227202,18.464098885901343,63,0.09976792277922912,0.09908641221493572,0.10036793917518028,0.0009662852821470455
6,14,1,6,2026-09-16T10:24:14.823000+02:00,17.210308333333334,0.09999999999999999,265.0,63,4.613664698203555,-9.658251424093558,13.96240186389812,18.56179297392246,63,0.0997468317468053,0.09921419154961372,0.10019015031309422,0.0006873964338983478
6,14,1,6,2026-09-16T10:24:14.823000+02:00,17.210308333333334,0.09999999999999999,270.0,63,-3.546993576909801,-15.234987453491403,5.299688499112641,17.028460603150105,63,0.09979784687353101,0.0990984213187178,0.10028663255117543,0.0010172504366564666
6,14,1,6,2026-09-16T10:24:14.823000+02:00,17.210308333333334,0.09999999999999999,275.0,63,-2.689781573220916,-15.055085909587955,9.246945005520136,18.306230599646803,63,0.099686851261343,0.09926936537040248,0.10059299459910984,0.0008821410189967162
6,14,1,6,2026-09-16T10:24:14.823000+02:00,17.210308333333334,0.09999999999999999,280.0,63,6.697240629409921,-6.594812974339419,13.208733161874889,14.181345841678072,63,0.09994929687243997,0.0992797559680843,0.10054639628935919,0.000990863373943054
6,14,1,6,2026-09-16T10:24:14.823000+02:00,17.210308333333334,0.09999999999999999,285.0,63,0.8537662091433446,-12.245026335783683,14.891438912903407,20.513832239719665,63,0.0999498582602477,0.0994170591641419,0.10034924248219322,0.0006748869621730118
6,14,1,6,2026-09-16T10:24:14.823000+02:00,17.210308333333334,0.09999999999999999,290.0,63,4.541896141322935,-4.872777150323923,16.210246164574748,16.802043143266598,63,0.0999627005314853,0.09917854029452493,0.10041031060578616,0.0009394487807705354
6,14,1,6,2026-09-16T10:24:14.823000+02:00,17.210308333333334,0.09999999999999999,295.0,63,5.583090978354909,-2.419611509917,16.787515605674727,14.58594090316084,63,0.0996954888981716,0.09905877742044067,0.10012180064286291,0.0007912542398867689
6,14,1,6,2026-09-16T10:24:14.823000+02:00,17.210308333333334,0.09999999999999999,300.0,63,0.9243767531033851,-8.965265423550639,16.12695396691876,19.431492294141822,63,0.09963874836091126,0.09900735492038915,0.10013480618509675,0.0008577513440711166
7,15,2,1,2026-09-16T10:28:49.604000+02:00,21.789991666666666,0.19999999999999998,5.0,62,1056.2921339262625,638.8186963588284,1389.1398513480954,601.067754962202,62,0.06025566507804267,0.05209721930610801,0.06951385091276606,0.013303549876701556
7,15,2,1,2026-09-16T10:28:49.604000+02:00,21.789991666666666,0.19999999999999998,10.0,62,939.0970038142965,826.1831675090549,1110.7075918066228,244.4873277452909,62,0.08934425961089891,0.077838966651789,0.10421235623853126,0.018038184772865423
7,15,2,1,2026-09-16T10:28:49.604000+02:00,21.789991666666666,0.19999999999999998,15.0,62,859.5144016952701,735.7073779183806,969.7046410377875,182.1305481085559,62,0.16951047772128677,0.15850166779573796,0.18112464013170576,0.016607262530437716
7,15,2,1,2026-09-16T10:28:49.604000+02:00,21.789991666666666,0.19999999999999998,20.0,62,685.5220988719711,631.6255084517995,770.3450625110729,119.79692527879477,62,0.17017315617114998,0.16562137514007974,0.17543326075456872,0.0073339969635382715
7,15,2,1,2026-09-16T10:28:49.604000+02:00,21.789991666666666,0.19999999999999998,25.0,62,539.2822111944404,503.32714568306454,612.9571750919027,80.4580955258275,62,0.17436865412598568,0.17204437542547804,0.17880896785430925,0.004588653870311021
7,15,2,1,2026-09-16T10:28:49.604000+02:00,21.789991666666666,0.19999999999999998,30.0,62,440.36929480482803,403.11622390803154,490.20754421083194,66.5632994673985,62,0.179658917002892,0.17762245514170438,0.18346962378352014,0.003795492961392089
7,15,2,1,2026-09-16T10:28:49.604000+02:00,21.789991666666666,0.19999999999999998,35.0,62,369.2799831114062,322.86496112085644,402.76711831763294,61.760732637648694,62,0.18462883030845012,0.18294229107707755,0.18691014570776127,0.003203550155363745
7,15,2,1,2026-09-16T10:28:49.604000+02:00,21.789991666666666,0.19999999999999998,40.0,62,297.81411950914946,274.8282903166398,340.4776597874786,47.42426131416002,62,0.18789774001594828,0.18620293814689046,0.19007557380241683,0.0028300100742317674
7,15,2,1,2026-09-16T10:28:49.604000+02:00,21.789991666666666,0.19999999999999998,45.0,62,259.45650905633124,230.00369315721557,291.0798718936491,45.734840339407775,62,0.18997294564044453,0.18827306996275808,0.19165437706502636,0.0025178368746036433
7,15,2,1,2026-09-16T10:28:49.604000+02:00,21.789991666666666,0.19999999999999998,50.0,62,217.9012577539073,199.37406074928026,244.86039874354518,36.44100451545542,62,0.19164049267186578,0.18950599350976896,0.1937957156146764,0.003232127519618256
7,15,2,1,2026-09-16T10:28:49.604000+02:00,21.789991666666666,0.19999999999999998,55.0,62,190.13488996465045,159.889032924199,212.59806697181386,33.945429346317866,62,0.19226192896476596,0.19086729026910565,0.1943824554878646,0.0025748009958802376
7,15,2,1,2026-09-16T10:28:49.604000+02:00,21.789991666666666,0.19999999999999998,60.0,62,161.36148871952943,140.78456647847202,186.2370537779617,34.085228623151394,62,0.19405972014457784,0.19284095584937472,0.196081319447591,0.0020016060655019515
